game,home_team,away_team,total,over_under,odds,sportsbook,game_time
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,45.5,Under,-110,DraftKings,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,44.5,Over,-115,FanDuel,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,44.5,Under,-105,FanDuel,2025-10-27T00:20:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,47.5,Over,-110,DraftKings,2025-10-28T00:15:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,47.5,Under,-110,DraftKings,2025-10-28T00:15:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,47.5,Over,-110,FanDuel,2025-10-28T00:15:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,47.5,Under,-110,FanDuel,2025-10-28T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,50.5,Over,-110,DraftKings,2025-10-31T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,50.5,Under,-110,DraftKings,2025-10-31T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,47.5,Over,-105,FanDuel,2025-10-31T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,47.5,Under,-115,FanDuel,2025-10-31T00:15:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,45.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,45.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,45.5,Over,-105,FanDuel,2025-11-02T18:00:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,45.5,Under,-115,FanDuel,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,44.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,44.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,43.5,Over,-105,FanDuel,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,43.5,Under,-115,FanDuel,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,48.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,48.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,47.5,Over,-105,FanDuel,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,47.5,Under,-115,FanDuel,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,38.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,38.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,39.5,Over,-102,FanDuel,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,39.5,Under,-120,FanDuel,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,48.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,48.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,48.5,Over,-104,FanDuel,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,48.5,Under,-118,FanDuel,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,49.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,49.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,47.5,Over,-110,FanDuel,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,47.5,Under,-110,FanDuel,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,43.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,43.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,43.5,Over,-105,FanDuel,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,43.5,Under,-115,FanDuel,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,46.5,Over,-110,DraftKings,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,46.5,Under,-110,DraftKings,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,45.5,Over,-115,FanDuel,2025-11-02T18:00:00Z
San Francisco 49ers @ New York Giants,New York Giants,San Francisco 49ers,45.5,Under,-105,FanDuel,2025-11-02T18:00:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,44.5,Over,-110,DraftKings,2025-11-02T21:05:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,44.5,Under,-110,DraftKings,2025-11-02T21:05:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,43.5,Over,-110,FanDuel,2025-11-02T21:05:00Z
Jacksonville Jaguars @ Las Vegas Raiders,Las Vegas Raiders,Jacksonville Jaguars,43.5,Under,-110,FanDuel,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,45.5,Over,-110,DraftKings,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,45.5,Under,-110,DraftKings,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,45.5,Over,-115,FanDuel,2025-11-02T21:05:00Z
New Orleans Saints @ Los Angeles Rams,Los Angeles Rams,New Orleans Saints,45.5,Under,-105,FanDuel,2025-11-02T21:05:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,50.5,Over,-110,DraftKings,2025-11-02T21:25:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,50.5,Under,-110,DraftKings,2025-11-02T21:25:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,50.5,Over,-110,FanDuel,2025-11-02T21:25:00Z
Kansas City Chiefs @ Buffalo Bills,Buffalo Bills,Kansas City Chiefs,50.5,Under,-110,FanDuel,2025-11-02T21:25:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,46.5,Over,-110,DraftKings,2025-11-03T01:20:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,46.5,Under,-110,DraftKings,2025-11-03T01:20:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,46.5,Over,-115,FanDuel,2025-11-03T01:20:00Z
Seattle Seahawks @ Washington Commanders,Washington Commanders,Seattle Seahawks,46.5,Under,-105,FanDuel,2025-11-03T01:20:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,52.5,Over,-110,DraftKings,2025-11-04T01:15:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,52.5,Under,-110,DraftKings,2025-11-04T01:15:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,51.5,Over,-105,FanDuel,2025-11-04T01:15:00Z
Arizona Cardinals @ Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,51.5,Under,-115,FanDuel,2025-11-04T01:15:00Z
