team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
NO,2025,3,275,906,3.29,0,0,0,167.0,0,0,0,0,238,940,3.95,0,0,0,0,0,0,0,9.375,53.125
CAR,2025,3,246,831,3.38,0,0,0,124.67,0,0,0,0,225,1004,4.46,0,0,0,0,0,0,0,15.625,21.875
SF,2025,3,250,1083,4.33,0,0,0,158.67,0,0,0,0,233,797,3.42,0,0,0,0,0,0,0,70.3125,84.375
TB,2025,3,261,967,3.7,0,0,0,141.33,0,0,0,0,235,891,3.79,0,0,0,0,0,0,0,31.25,62.5
MIN,2025,3,217,806,3.71,0,0,0,118.33,0,0,0,0,244,814,3.34,0,0,0,0,0,0,0,34.375,87.5
BUF,2025,3,265,1260,4.75,0,0,0,198.0,0,0,0,0,208,862,4.14,0,0,0,0,0,0,0,93.75,43.75
CLE,2025,3,259,870,3.36,0,0,0,112.33,0,0,0,0,224,613,2.74,0,0,0,0,0,0,0,12.5,100.0
DET,2025,3,240,1183,4.93,0,0,0,196.33,0,0,0,0,220,923,4.2,0,0,0,0,0,0,0,96.875,40.625
BAL,2025,3,219,992,4.53,0,0,0,146.33,0,0,0,0,281,1245,4.43,0,0,0,0,0,0,0,87.5,25.0
NYJ,2025,3,228,815,3.57,0,0,0,136.0,0,0,0,0,254,1021,4.02,0,0,0,0,0,0,0,25.0,46.875
MIA,2025,3,206,847,4.11,0,0,0,113.0,0,0,0,0,234,1113,4.76,0,0,0,0,0,0,0,56.25,12.5
JAX,2025,3,251,1092,4.35,0,0,0,205.67,0,0,0,0,237,876,3.7,0,0,0,0,0,0,0,76.5625,73.4375
ARI,2025,3,231,829,3.59,0,0,0,142.33,0,0,0,0,268,1022,3.81,0,0,0,0,0,0,0,28.125,59.375
ATL,2025,3,252,1017,4.04,0,0,0,165.0,0,0,0,0,206,682,3.31,0,0,0,0,0,0,0,50.0,90.625
DAL,2025,3,271,1183,4.37,0,0,0,174.33,0,0,0,0,235,1193,5.08,0,0,0,0,0,0,0,81.25,3.125
CIN,2025,3,224,662,2.96,0,0,0,120.67,0,0,0,0,254,1102,4.34,0,0,0,0,0,0,0,6.25,28.125
GB,2025,3,225,900,4.0,0,0,0,180.67,0,0,0,0,245,699,2.85,0,0,0,0,0,0,0,45.3125,96.875
PHI,2025,3,233,806,3.46,0,0,0,120.67,0,0,0,0,224,957,4.27,0,0,0,0,0,0,0,20.3125,37.5
NYG,2025,3,245,1018,4.16,0,0,0,148.0,0,0,0,0,281,1216,4.33,0,0,0,0,0,0,0,60.9375,31.25
CHI,2025,3,247,1041,4.21,0,0,0,216.33,0,0,0,0,233,1165,5.0,0,0,0,0,0,0,0,65.625,6.25
TEN,2025,3,249,667,2.68,0,0,0,137.0,0,0,0,0,239,1121,4.69,0,0,0,0,0,0,0,3.125,15.625
IND,2025,3,239,1256,5.26,0,0,0,240.33,0,0,0,0,217,819,3.77,0,0,0,0,0,0,0,100.0,65.625
LAC,2025,3,251,1087,4.33,0,0,0,191.33,0,0,0,0,226,830,3.67,0,0,0,0,0,0,0,70.3125,78.125
WAS,2025,3,243,1064,4.38,0,0,0,186.67,0,0,0,0,247,991,4.01,0,0,0,0,0,0,0,84.375,50.0
LAR,2025,3,230,1091,4.74,0,0,0,165.33,0,0,0,0,244,805,3.3,0,0,0,0,0,0,0,90.625,93.75
DEN,2025,3,234,906,3.87,0,0,0,135.0,0,0,0,0,263,982,3.73,0,0,0,0,0,0,0,40.625,68.75
HOU,2025,3,214,802,3.75,0,0,0,133.67,0,0,0,0,256,947,3.7,0,0,0,0,0,0,0,37.5,73.4375
KC,2025,3,234,947,4.05,0,0,0,131.67,0,0,0,0,232,891,3.84,0,0,0,0,0,0,0,53.125,56.25
LV,2025,3,241,963,4.0,0,0,0,141.33,0,0,0,0,235,1053,4.48,0,0,0,0,0,0,0,45.3125,18.75
NE,2025,3,250,1040,4.16,0,0,0,199.0,0,0,0,0,221,950,4.3,0,0,0,0,0,0,0,60.9375,34.375
PIT,2025,3,215,743,3.46,0,0,0,122.0,0,0,0,0,242,1158,4.79,0,0,0,0,0,0,0,20.3125,9.375
SEA,2025,3,217,945,4.35,0,0,0,162.33,0,0,0,0,261,937,3.59,0,0,0,0,0,0,0,76.5625,81.25
