team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,1,80,352,4.4,0,0,0,141.0,0,0,0,0,74,272,3.68,0,0,0,0,0,0,0,62.5,62.5
PIT,2024,1,83,270,3.25,0,0,0,132.0,0,0,0,0,68,226,3.32,0,0,0,0,0,0,0,25.0,75.0
KC,2024,1,69,353,5.12,0,0,0,139.0,0,0,0,0,94,452,4.81,0,0,0,0,0,0,0,96.875,18.75
ARI,2024,1,74,272,3.68,0,0,0,190.0,0,0,0,0,80,352,4.4,0,0,0,0,0,0,0,40.625,40.625
NO,2024,1,80,379,4.74,0,0,0,229.0,0,0,0,0,77,193,2.51,0,0,0,0,0,0,0,81.25,92.1875
TEN,2024,1,82,244,2.98,0,0,0,179.0,0,0,0,0,73,150,2.05,0,0,0,0,0,0,0,18.75,100.0
NE,2024,1,79,290,3.67,0,0,0,174.0,0,0,0,0,61,224,3.67,0,0,0,0,0,0,0,35.9375,67.1875
DAL,2024,1,83,265,3.19,0,0,0,216.0,0,0,0,0,97,230,2.37,0,0,0,0,0,0,0,21.875,96.875
CLE,2024,1,97,230,2.37,0,0,0,54.0,0,0,0,0,83,265,3.19,0,0,0,0,0,0,0,6.25,81.25
SEA,2024,1,84,304,3.62,0,0,0,102.0,0,0,0,0,92,231,2.51,0,0,0,0,0,0,0,31.25,92.1875
LAR,2024,1,98,387,3.95,0,0,0,166.0,0,0,0,0,71,363,5.11,0,0,0,0,0,0,0,46.875,9.375
PHI,2024,1,93,410,4.41,0,0,0,195.0,0,0,0,0,85,414,4.87,0,0,0,0,0,0,0,65.625,15.625
IND,2024,1,59,303,5.14,0,0,0,155.0,0,0,0,0,94,417,4.44,0,0,0,0,0,0,0,100.0,34.375
HOU,2024,1,94,417,4.44,0,0,0,207.0,0,0,0,0,59,303,5.14,0,0,0,0,0,0,0,68.75,3.125
MIA,2024,1,85,400,4.71,0,0,0,160.0,0,0,0,0,70,267,3.81,0,0,0,0,0,0,0,78.125,59.375
BAL,2024,1,94,452,4.81,0,0,0,204.0,0,0,0,0,69,353,5.12,0,0,0,0,0,0,0,84.375,6.25
LV,2024,1,74,296,4.0,0,0,0,123.0,0,0,0,0,75,316,4.21,0,0,0,0,0,0,0,50.0,43.75
DET,2024,1,71,363,5.11,0,0,0,124.0,0,0,0,0,98,387,3.95,0,0,0,0,0,0,0,93.75,56.25
LAC,2024,1,75,316,4.21,0,0,0,83.0,0,0,0,0,74,296,4.0,0,0,0,0,0,0,0,59.375,53.125
JAX,2024,1,70,267,3.81,0,0,0,162.0,0,0,0,0,85,400,4.71,0,0,0,0,0,0,0,43.75,25.0
NYG,2024,1,87,240,2.76,0,0,0,87.0,0,0,0,0,67,312,4.66,0,0,0,0,0,0,0,15.625,29.6875
CIN,2024,1,61,224,3.67,0,0,0,77.0,0,0,0,0,79,290,3.67,0,0,0,0,0,0,0,35.9375,67.1875
CAR,2024,1,77,193,2.51,0,0,0,74.0,0,0,0,0,80,379,4.74,0,0,0,0,0,0,0,10.9375,21.875
MIN,2024,1,67,312,4.66,0,0,0,172.0,0,0,0,0,87,240,2.76,0,0,0,0,0,0,0,73.4375,87.5
SF,2024,1,86,401,4.66,0,0,0,210.0,0,0,0,0,64,266,4.16,0,0,0,0,0,0,0,73.4375,46.875
GB,2024,1,85,414,4.87,0,0,0,199.0,0,0,0,0,93,410,4.41,0,0,0,0,0,0,0,87.5,37.5
ATL,2024,1,68,226,3.32,0,0,0,175.0,0,0,0,0,83,270,3.25,0,0,0,0,0,0,0,28.125,78.125
DEN,2024,1,92,231,2.51,0,0,0,121.0,0,0,0,0,84,304,3.62,0,0,0,0,0,0,0,10.9375,71.875
NYJ,2024,1,64,266,4.16,0,0,0,83.0,0,0,0,0,86,401,4.66,0,0,0,0,0,0,0,56.25,29.6875
WAS,2024,1,74,299,4.04,0,0,0,120.0,0,0,0,0,79,392,4.96,0,0,0,0,0,0,0,53.125,12.5
CHI,2024,1,73,150,2.05,0,0,0,50.0,0,0,0,0,82,244,2.98,0,0,0,0,0,0,0,3.125,84.375
TB,2024,1,79,392,4.96,0,0,0,205.0,0,0,0,0,74,299,4.04,0,0,0,0,0,0,0,90.625,50.0
