team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BAL,2024,11,899,4708,5.24,0,0,0,204.64,0,0,0,0,943,3986,4.23,0,0,0,0,0,0,0,100.0,50.0
KC,2024,11,817,3379,4.14,0,0,0,179.4,0,0,0,0,767,2975,3.88,0,0,0,0,0,0,0,50.0,81.25
GB,2024,11,798,3880,4.86,0,0,0,203.7,0,0,0,0,792,3271,4.13,0,0,0,0,0,0,0,90.625,59.375
PHI,2024,11,827,3803,4.6,0,0,0,167.8,0,0,0,0,759,2737,3.61,0,0,0,0,0,0,0,84.375,96.875
ATL,2024,11,883,3995,4.52,0,0,0,189.36,0,0,0,0,896,3932,4.39,0,0,0,0,0,0,0,78.125,25.0
PIT,2024,11,841,3240,3.85,0,0,0,146.5,0,0,0,0,777,3057,3.93,0,0,0,0,0,0,0,29.6875,76.5625
ARI,2024,11,735,3468,4.72,0,0,0,176.9,0,0,0,0,790,3462,4.38,0,0,0,0,0,0,0,87.5,29.6875
BUF,2024,11,872,3800,4.36,0,0,0,174.64,0,0,0,0,864,3622,4.19,0,0,0,0,0,0,0,68.75,53.125
TEN,2024,11,811,2954,3.64,0,0,0,162.1,0,0,0,0,757,2782,3.68,0,0,0,0,0,0,0,15.625,93.75
CHI,2024,11,835,2894,3.47,0,0,0,149.6,0,0,0,0,760,3277,4.31,0,0,0,0,0,0,0,6.25,40.625
CIN,2024,11,880,3899,4.43,0,0,0,160.91,0,0,0,0,921,3914,4.25,0,0,0,0,0,0,0,71.875,46.875
NE,2024,11,875,3091,3.53,0,0,0,129.18,0,0,0,0,873,3799,4.35,0,0,0,0,0,0,0,9.375,34.375
IND,2024,11,846,3527,4.17,0,0,0,151.18,0,0,0,0,932,4120,4.42,0,0,0,0,0,0,0,53.125,21.875
HOU,2024,11,944,3772,4.0,0,0,0,190.0,0,0,0,0,873,3267,3.74,0,0,0,0,0,0,0,40.625,90.625
MIA,2024,11,795,3190,4.01,0,0,0,149.9,0,0,0,0,777,3082,3.97,0,0,0,0,0,0,0,43.75,68.75
JAX,2024,11,793,3205,4.04,0,0,0,123.91,0,0,0,0,951,4551,4.79,0,0,0,0,0,0,0,46.875,3.125
NO,2024,11,882,3821,4.33,0,0,0,195.64,0,0,0,0,925,4303,4.65,0,0,0,0,0,0,0,65.625,6.25
CAR,2024,11,761,2807,3.69,0,0,0,143.4,0,0,0,0,846,3873,4.58,0,0,0,0,0,0,0,18.75,15.625
NYG,2024,11,836,3097,3.7,0,0,0,147.2,0,0,0,0,766,3315,4.33,0,0,0,0,0,0,0,21.875,37.5
MIN,2024,11,790,3410,4.32,0,0,0,178.6,0,0,0,0,802,3097,3.86,0,0,0,0,0,0,0,62.5,84.375
LAC,2024,11,772,3266,4.23,0,0,0,186.9,0,0,0,0,796,3171,3.98,0,0,0,0,0,0,0,59.375,62.5
LV,2024,11,790,2854,3.61,0,0,0,137.3,0,0,0,0,820,3253,3.97,0,0,0,0,0,0,0,12.5,68.75
SEA,2024,11,840,3524,4.2,0,0,0,160.4,0,0,0,0,844,3511,4.16,0,0,0,0,0,0,0,56.25,56.25
DEN,2024,11,872,3437,3.94,0,0,0,160.18,0,0,0,0,898,3185,3.55,0,0,0,0,0,0,0,34.375,100.0
DAL,2024,11,857,3225,3.76,0,0,0,174.8,0,0,0,0,807,3657,4.53,0,0,0,0,0,0,0,25.0,18.75
CLE,2024,11,864,2919,3.38,0,0,0,115.4,0,0,0,0,782,3427,4.38,0,0,0,0,0,0,0,3.125,29.6875
TB,2024,11,804,3617,4.5,0,0,0,193.1,0,0,0,0,848,3893,4.59,0,0,0,0,0,0,0,75.0,10.9375
WAS,2024,11,883,4038,4.57,0,0,0,187.0,0,0,0,0,857,3685,4.3,0,0,0,0,0,0,0,81.25,43.75
LAR,2024,11,851,3360,3.95,0,0,0,151.3,0,0,0,0,762,3501,4.59,0,0,0,0,0,0,0,37.5,10.9375
DET,2024,11,782,3947,5.05,0,0,0,191.5,0,0,0,0,825,3277,3.97,0,0,0,0,0,0,0,96.875,68.75
NYJ,2024,11,841,3240,3.85,0,0,0,130.18,0,0,0,0,892,3356,3.76,0,0,0,0,0,0,0,29.6875,87.5
SF,2024,11,795,3992,5.02,0,0,0,200.0,0,0,0,0,769,3021,3.93,0,0,0,0,0,0,0,93.75,76.5625
