team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,6,455,1858,4.08,0,0,0,171.17,0,0,0,0,483,2107,4.36,0,0,0,0,0,0,0,46.875,34.375
LAR,2024,6,419,1620,3.87,0,0,0,146.2,0,0,0,0,369,1864,5.05,0,0,0,0,0,0,0,40.625,3.125
DET,2024,6,402,2080,5.17,0,0,0,197.0,0,0,0,0,424,1647,3.88,0,0,0,0,0,0,0,93.75,78.125
WAS,2024,6,476,2270,4.77,0,0,0,193.0,0,0,0,0,461,2124,4.61,0,0,0,0,0,0,0,87.5,17.1875
SF,2024,6,481,2523,5.25,0,0,0,217.17,0,0,0,0,458,1896,4.14,0,0,0,0,0,0,0,96.875,59.375
GB,2024,6,501,2402,4.79,0,0,0,214.0,0,0,0,0,483,2032,4.21,0,0,0,0,0,0,0,90.625,43.75
PIT,2024,6,485,1790,3.69,0,0,0,142.5,0,0,0,0,453,1767,3.9,0,0,0,0,0,0,0,25.0,75.0
PHI,2024,6,409,1838,4.49,0,0,0,163.8,0,0,0,0,391,1707,4.37,0,0,0,0,0,0,0,71.875,31.25
KC,2024,6,404,1773,4.39,0,0,0,191.6,0,0,0,0,389,1527,3.93,0,0,0,0,0,0,0,65.625,71.875
NO,2024,6,467,1919,4.11,0,0,0,182.83,0,0,0,0,509,2377,4.67,0,0,0,0,0,0,0,50.0,7.8125
TB,2024,6,468,2203,4.71,0,0,0,209.83,0,0,0,0,520,2194,4.22,0,0,0,0,0,0,0,84.375,40.625
CAR,2024,6,475,1791,3.77,0,0,0,155.33,0,0,0,0,491,2283,4.65,0,0,0,0,0,0,0,28.125,12.5
LV,2024,6,467,1764,3.78,0,0,0,134.17,0,0,0,0,489,1934,3.96,0,0,0,0,0,0,0,31.25,68.75
DAL,2024,6,511,2019,3.95,0,0,0,184.83,0,0,0,0,488,2139,4.38,0,0,0,0,0,0,0,43.75,28.125
CIN,2024,6,451,2101,4.66,0,0,0,165.67,0,0,0,0,502,2136,4.25,0,0,0,0,0,0,0,81.25,37.5
ARI,2024,6,440,1997,4.54,0,0,0,173.33,0,0,0,0,480,2242,4.67,0,0,0,0,0,0,0,75.0,7.8125
MIA,2024,6,416,1512,3.63,0,0,0,140.2,0,0,0,0,369,1427,3.87,0,0,0,0,0,0,0,18.75,81.25
JAX,2024,6,457,1917,4.19,0,0,0,132.17,0,0,0,0,508,2340,4.61,0,0,0,0,0,0,0,56.25,17.1875
BAL,2024,6,510,2697,5.29,0,0,0,224.5,0,0,0,0,483,2010,4.16,0,0,0,0,0,0,0,100.0,56.25
HOU,2024,6,516,2251,4.36,0,0,0,201.5,0,0,0,0,467,1662,3.56,0,0,0,0,0,0,0,62.5,90.625
NYJ,2024,6,481,1826,3.8,0,0,0,142.17,0,0,0,0,480,1638,3.41,0,0,0,0,0,0,0,34.375,93.75
LAC,2024,6,382,1407,3.68,0,0,0,161.8,0,0,0,0,362,1446,3.99,0,0,0,0,0,0,0,21.875,65.625
CHI,2024,6,504,1811,3.59,0,0,0,166.17,0,0,0,0,465,1752,3.77,0,0,0,0,0,0,0,15.625,87.5
ATL,2024,6,476,2212,4.65,0,0,0,189.5,0,0,0,0,494,2016,4.08,0,0,0,0,0,0,0,78.125,62.5
TEN,2024,6,389,1266,3.25,0,0,0,137.6,0,0,0,0,382,1246,3.26,0,0,0,0,0,0,0,6.25,100.0
IND,2024,6,453,2021,4.46,0,0,0,162.0,0,0,0,0,514,2337,4.55,0,0,0,0,0,0,0,68.75,21.875
NE,2024,6,468,1542,3.29,0,0,0,112.5,0,0,0,0,481,2153,4.48,0,0,0,0,0,0,0,9.375,25.0
NYG,2024,6,500,1916,3.83,0,0,0,161.5,0,0,0,0,449,1886,4.2,0,0,0,0,0,0,0,37.5,46.875
CLE,2024,6,496,1443,2.91,0,0,0,91.67,0,0,0,0,479,2002,4.18,0,0,0,0,0,0,0,3.125,51.5625
SEA,2024,6,530,2239,4.22,0,0,0,151.17,0,0,0,0,487,2038,4.18,0,0,0,0,0,0,0,59.375,51.5625
MIN,2024,6,390,1616,4.14,0,0,0,181.2,0,0,0,0,437,1656,3.79,0,0,0,0,0,0,0,53.125,84.375
DEN,2024,6,475,1669,3.51,0,0,0,104.83,0,0,0,0,507,1708,3.37,0,0,0,0,0,0,0,12.5,96.875
