team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,10,786,3434,4.37,0,0,0,170.4,0,0,0,0,796,3363,4.22,0,0,0,0,0,0,0,65.625,40.625
LAR,2024,10,778,2958,3.8,0,0,0,143.33,0,0,0,0,674,3119,4.63,0,0,0,0,0,0,0,28.125,3.125
DET,2024,10,693,3302,4.76,0,0,0,178.78,0,0,0,0,758,3107,4.1,0,0,0,0,0,0,0,93.75,59.375
WAS,2024,10,803,3772,4.7,0,0,0,193.3,0,0,0,0,772,3251,4.21,0,0,0,0,0,0,0,84.375,45.3125
SF,2024,10,719,3715,5.17,0,0,0,205.33,0,0,0,0,696,2732,3.93,0,0,0,0,0,0,0,96.875,68.75
GB,2024,10,743,3514,4.73,0,0,0,209.89,0,0,0,0,708,2880,4.07,0,0,0,0,0,0,0,90.625,62.5
LAC,2024,10,686,2831,4.13,0,0,0,177.44,0,0,0,0,695,2719,3.91,0,0,0,0,0,0,0,48.4375,75.0
MIA,2024,10,715,2837,3.97,0,0,0,152.44,0,0,0,0,699,2754,3.94,0,0,0,0,0,0,0,43.75,65.625
CHI,2024,10,751,2503,3.33,0,0,0,148.89,0,0,0,0,705,2911,4.13,0,0,0,0,0,0,0,6.25,56.25
NYJ,2024,10,771,2987,3.87,0,0,0,132.9,0,0,0,0,807,3024,3.75,0,0,0,0,0,0,0,34.375,87.5
PIT,2024,10,745,2937,3.94,0,0,0,152.44,0,0,0,0,699,2728,3.9,0,0,0,0,0,0,0,40.625,78.125
PHI,2024,10,742,3369,4.54,0,0,0,167.11,0,0,0,0,679,2471,3.64,0,0,0,0,0,0,0,78.125,96.875
KC,2024,10,749,3120,4.17,0,0,0,185.44,0,0,0,0,681,2609,3.83,0,0,0,0,0,0,0,53.125,84.375
NO,2024,10,810,3348,4.13,0,0,0,190.7,0,0,0,0,835,3858,4.62,0,0,0,0,0,0,0,48.4375,6.25
TB,2024,10,804,3617,4.5,0,0,0,193.1,0,0,0,0,848,3893,4.59,0,0,0,0,0,0,0,75.0,9.375
CAR,2024,10,761,2807,3.69,0,0,0,143.4,0,0,0,0,846,3873,4.58,0,0,0,0,0,0,0,18.75,12.5
SEA,2024,10,767,3235,4.22,0,0,0,166.67,0,0,0,0,768,3234,4.21,0,0,0,0,0,0,0,62.5,45.3125
DAL,2024,10,759,2837,3.74,0,0,0,171.0,0,0,0,0,727,3266,4.49,0,0,0,0,0,0,0,25.0,20.3125
LV,2024,10,712,2526,3.55,0,0,0,139.56,0,0,0,0,740,2900,3.92,0,0,0,0,0,0,0,12.5,71.875
CIN,2024,10,779,3447,4.42,0,0,0,164.4,0,0,0,0,835,3479,4.17,0,0,0,0,0,0,0,71.875,50.0
CLE,2024,10,774,2474,3.2,0,0,0,100.0,0,0,0,0,710,2954,4.16,0,0,0,0,0,0,0,3.125,53.125
DEN,2024,10,797,3037,3.81,0,0,0,154.2,0,0,0,0,823,2959,3.6,0,0,0,0,0,0,0,31.25,100.0
ARI,2024,10,735,3468,4.72,0,0,0,176.9,0,0,0,0,790,3462,4.38,0,0,0,0,0,0,0,87.5,25.0
JAX,2024,10,726,3035,4.18,0,0,0,125.9,0,0,0,0,862,3906,4.53,0,0,0,0,0,0,0,56.25,15.625
BAL,2024,10,821,4379,5.33,0,0,0,205.2,0,0,0,0,847,3683,4.35,0,0,0,0,0,0,0,100.0,28.125
HOU,2024,10,864,3381,3.91,0,0,0,185.8,0,0,0,0,775,2879,3.71,0,0,0,0,0,0,0,37.5,90.625
TEN,2024,10,738,2660,3.6,0,0,0,170.56,0,0,0,0,671,2464,3.67,0,0,0,0,0,0,0,15.625,93.75
IND,2024,10,761,3195,4.2,0,0,0,151.2,0,0,0,0,862,3867,4.49,0,0,0,0,0,0,0,59.375,20.3125
ATL,2024,10,808,3769,4.66,0,0,0,192.9,0,0,0,0,821,3532,4.3,0,0,0,0,0,0,0,81.25,34.375
NYG,2024,10,836,3097,3.7,0,0,0,147.2,0,0,0,0,766,3315,4.33,0,0,0,0,0,0,0,21.875,31.25
NE,2024,10,787,2709,3.44,0,0,0,122.6,0,0,0,0,800,3397,4.25,0,0,0,0,0,0,0,9.375,37.5
MIN,2024,10,704,3092,4.39,0,0,0,177.11,0,0,0,0,729,2803,3.84,0,0,0,0,0,0,0,68.75,81.25
