team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
NO,2025,5,435,1536,3.53,0,0,0,179.2,0,0,0,0,400,1631,4.08,0,0,0,0,0,0,0,15.625,59.375
CAR,2025,5,422,1575,3.73,0,0,0,143.6,0,0,0,0,358,1559,4.35,0,0,0,0,0,0,0,21.875,28.125
SF,2025,5,431,1881,4.36,0,0,0,179.0,0,0,0,0,403,1578,3.92,0,0,0,0,0,0,0,71.875,68.75
SEA,2025,5,373,1792,4.8,0,0,0,170.2,0,0,0,0,418,1618,3.87,0,0,0,0,0,0,0,93.75,75.0
TEN,2025,5,393,1169,2.97,0,0,0,125.2,0,0,0,0,405,1834,4.53,0,0,0,0,0,0,0,3.125,21.875
TB,2025,5,424,1771,4.18,0,0,0,136.8,0,0,0,0,386,1554,4.03,0,0,0,0,0,0,0,46.875,64.0625
MIN,2025,5,386,1529,3.96,0,0,0,137.6,0,0,0,0,398,1449,3.64,0,0,0,0,0,0,0,35.9375,82.8125
WAS,2025,5,388,1749,4.51,0,0,0,169.4,0,0,0,0,412,1762,4.28,0,0,0,0,0,0,0,79.6875,37.5
BUF,2025,5,421,1979,4.7,0,0,0,182.2,0,0,0,0,363,1498,4.13,0,0,0,0,0,0,0,90.625,53.125
CLE,2025,5,432,1441,3.34,0,0,0,126.8,0,0,0,0,380,1239,3.26,0,0,0,0,0,0,0,9.375,100.0
DET,2025,5,395,1825,4.62,0,0,0,185.4,0,0,0,0,385,1494,3.88,0,0,0,0,0,0,0,84.375,71.875
KC,2025,5,400,1805,4.51,0,0,0,169.8,0,0,0,0,374,1570,4.2,0,0,0,0,0,0,0,79.6875,43.75
HOU,2025,5,376,1572,4.18,0,0,0,151.2,0,0,0,0,381,1329,3.49,0,0,0,0,0,0,0,46.875,93.75
BAL,2025,5,351,1559,4.44,0,0,0,142.4,0,0,0,0,449,2044,4.55,0,0,0,0,0,0,0,75.0,18.75
NYJ,2025,5,405,1586,3.92,0,0,0,139.8,0,0,0,0,405,1737,4.29,0,0,0,0,0,0,0,31.25,32.8125
MIA,2025,5,348,1395,4.01,0,0,0,128.2,0,0,0,0,402,1920,4.78,0,0,0,0,0,0,0,40.625,6.25
NE,2025,5,389,1685,4.33,0,0,0,179.6,0,0,0,0,389,1639,4.21,0,0,0,0,0,0,0,67.1875,40.625
JAX,2025,5,411,1736,4.22,0,0,0,202.0,0,0,0,0,394,1743,4.42,0,0,0,0,0,0,0,53.125,25.0
ARI,2025,5,399,1442,3.61,0,0,0,144.0,0,0,0,0,430,1733,4.03,0,0,0,0,0,0,0,18.75,64.0625
ATL,2025,5,335,1452,4.33,0,0,0,175.0,0,0,0,0,278,978,3.52,0,0,0,0,0,0,0,67.1875,90.625
DAL,2025,5,439,2035,4.64,0,0,0,192.0,0,0,0,0,436,2064,4.73,0,0,0,0,0,0,0,87.5,9.375
LV,2025,5,387,1616,4.18,0,0,0,156.0,0,0,0,0,393,1643,4.18,0,0,0,0,0,0,0,46.875,48.4375
DEN,2025,5,419,1778,4.24,0,0,0,162.4,0,0,0,0,409,1443,3.53,0,0,0,0,0,0,0,59.375,87.5
CIN,2025,5,370,1143,3.09,0,0,0,114.4,0,0,0,0,424,1979,4.67,0,0,0,0,0,0,0,6.25,12.5
GB,2025,5,328,1389,4.23,0,0,0,183.25,0,0,0,0,334,1135,3.4,0,0,0,0,0,0,0,56.25,96.875
PHI,2025,5,388,1308,3.37,0,0,0,147.4,0,0,0,0,405,1693,4.18,0,0,0,0,0,0,0,12.5,48.4375
NYG,2025,5,422,1605,3.8,0,0,0,154.2,0,0,0,0,440,1888,4.29,0,0,0,0,0,0,0,28.125,32.8125
CHI,2025,5,331,1312,3.96,0,0,0,184.75,0,0,0,0,299,1522,5.09,0,0,0,0,0,0,0,35.9375,3.125
IND,2025,5,390,1908,4.89,0,0,0,201.4,0,0,0,0,386,1577,4.09,0,0,0,0,0,0,0,96.875,56.25
LAC,2025,5,411,1763,4.29,0,0,0,189.4,0,0,0,0,389,1471,3.78,0,0,0,0,0,0,0,62.5,78.125
LAR,2025,5,401,2009,5.01,0,0,0,175.4,0,0,0,0,425,1545,3.64,0,0,0,0,0,0,0,100.0,82.8125
PIT,2025,5,282,1056,3.74,0,0,0,137.25,0,0,0,0,332,1532,4.61,0,0,0,0,0,0,0,25.0,15.625
