team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,7,525,2247,4.28,0,0,0,159.57,0,0,0,0,573,2396,4.18,0,0,0,0,0,0,0,56.25,43.75
LAR,2024,7,494,1879,3.8,0,0,0,140.83,0,0,0,0,460,2181,4.74,0,0,0,0,0,0,0,31.25,3.125
DET,2024,7,479,2471,5.16,0,0,0,204.83,0,0,0,0,499,2030,4.07,0,0,0,0,0,0,0,96.875,59.375
WAS,2024,7,560,2691,4.81,0,0,0,196.0,0,0,0,0,521,2304,4.42,0,0,0,0,0,0,0,90.625,28.125
SF,2024,7,556,2833,5.1,0,0,0,204.86,0,0,0,0,540,2225,4.12,0,0,0,0,0,0,0,93.75,51.5625
GB,2024,7,574,2679,4.67,0,0,0,205.71,0,0,0,0,562,2229,3.97,0,0,0,0,0,0,0,84.375,68.75
LAC,2024,7,459,1802,3.93,0,0,0,167.0,0,0,0,0,434,1772,4.08,0,0,0,0,0,0,0,40.625,56.25
PIT,2024,7,567,2199,3.88,0,0,0,148.14,0,0,0,0,528,2092,3.96,0,0,0,0,0,0,0,37.5,73.4375
PHI,2024,7,491,2177,4.43,0,0,0,162.67,0,0,0,0,468,1826,3.9,0,0,0,0,0,0,0,71.875,78.125
KC,2024,7,486,2102,4.33,0,0,0,188.0,0,0,0,0,464,1837,3.96,0,0,0,0,0,0,0,67.1875,73.4375
NO,2024,7,555,2190,3.95,0,0,0,175.29,0,0,0,0,588,2766,4.7,0,0,0,0,0,0,0,45.3125,10.9375
TB,2024,7,567,2686,4.74,0,0,0,211.0,0,0,0,0,594,2702,4.55,0,0,0,0,0,0,0,87.5,18.75
CAR,2024,7,535,1971,3.68,0,0,0,148.86,0,0,0,0,575,2704,4.7,0,0,0,0,0,0,0,18.75,10.9375
SEA,2024,7,606,2578,4.25,0,0,0,167.29,0,0,0,0,577,2423,4.2,0,0,0,0,0,0,0,53.125,37.5
LV,2024,7,558,2081,3.73,0,0,0,141.86,0,0,0,0,564,2193,3.89,0,0,0,0,0,0,0,28.125,81.25
DAL,2024,7,511,2019,3.95,0,0,0,184.83,0,0,0,0,488,2139,4.38,0,0,0,0,0,0,0,45.3125,31.25
CIN,2024,7,522,2324,4.45,0,0,0,154.29,0,0,0,0,600,2474,4.12,0,0,0,0,0,0,0,75.0,51.5625
ARI,2024,7,512,2323,4.54,0,0,0,171.29,0,0,0,0,557,2637,4.73,0,0,0,0,0,0,0,78.125,6.25
MIA,2024,7,500,1849,3.7,0,0,0,149.17,0,0,0,0,448,1711,3.82,0,0,0,0,0,0,0,21.875,84.375
JAX,2024,7,529,2283,4.32,0,0,0,139.43,0,0,0,0,584,2635,4.51,0,0,0,0,0,0,0,62.5,21.875
BAL,2024,7,584,3205,5.49,0,0,0,225.71,0,0,0,0,582,2493,4.28,0,0,0,0,0,0,0,100.0,34.375
HOU,2024,7,595,2448,4.11,0,0,0,190.0,0,0,0,0,540,1939,3.59,0,0,0,0,0,0,0,50.0,96.875
NYJ,2024,7,556,2151,3.87,0,0,0,146.86,0,0,0,0,562,2047,3.64,0,0,0,0,0,0,0,34.375,90.625
TEN,2024,7,479,1555,3.25,0,0,0,150.83,0,0,0,0,452,1635,3.62,0,0,0,0,0,0,0,6.25,93.75
CHI,2024,7,504,1811,3.59,0,0,0,166.17,0,0,0,0,465,1752,3.77,0,0,0,0,0,0,0,15.625,87.5
ATL,2024,7,566,2597,4.59,0,0,0,189.43,0,0,0,0,570,2355,4.13,0,0,0,0,0,0,0,81.25,46.875
IND,2024,7,532,2305,4.33,0,0,0,158.14,0,0,0,0,598,2674,4.47,0,0,0,0,0,0,0,67.1875,25.0
NE,2024,7,544,1837,3.38,0,0,0,115.86,0,0,0,0,553,2519,4.56,0,0,0,0,0,0,0,9.375,15.625
NYG,2024,7,577,2035,3.53,0,0,0,149.29,0,0,0,0,531,2225,4.19,0,0,0,0,0,0,0,12.5,40.625
CLE,2024,7,594,1781,3.0,0,0,0,98.86,0,0,0,0,550,2225,4.05,0,0,0,0,0,0,0,3.125,62.5
MIN,2024,7,465,1999,4.3,0,0,0,178.67,0,0,0,0,514,2047,3.98,0,0,0,0,0,0,0,59.375,65.625
DEN,2024,7,554,2058,3.71,0,0,0,124.43,0,0,0,0,595,1979,3.33,0,0,0,0,0,0,0,25.0,100.0
