team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,13,943,4172,4.42,0,0,0,179.92,0,0,0,0,927,3861,4.17,0,0,0,0,0,0,0,68.75,50.0
LAR,2024,13,997,3972,3.98,0,0,0,143.08,0,0,0,0,929,4311,4.64,0,0,0,0,0,0,0,34.375,9.375
DET,2024,13,951,4742,4.99,0,0,0,197.0,0,0,0,0,973,3846,3.95,0,0,0,0,0,0,0,96.875,78.125
WAS,2024,13,1070,4915,4.59,0,0,0,185.85,0,0,0,0,1017,4262,4.19,0,0,0,0,0,0,0,79.6875,46.875
SF,2024,13,923,4472,4.85,0,0,0,188.42,0,0,0,0,926,3718,4.02,0,0,0,0,0,0,0,93.75,67.1875
GB,2024,13,954,4593,4.81,0,0,0,205.67,0,0,0,0,944,3889,4.12,0,0,0,0,0,0,0,90.625,53.125
LAC,2024,13,918,3740,4.07,0,0,0,184.67,0,0,0,0,965,3910,4.05,0,0,0,0,0,0,0,40.625,62.5
MIA,2024,13,965,3940,4.08,0,0,0,158.42,0,0,0,0,934,3741,4.01,0,0,0,0,0,0,0,46.875,73.4375
CHI,2024,13,1009,3595,3.56,0,0,0,146.92,0,0,0,0,929,4134,4.45,0,0,0,0,0,0,0,3.125,21.875
NYJ,2024,13,923,3500,3.79,0,0,0,132.42,0,0,0,0,969,3615,3.73,0,0,0,0,0,0,0,28.125,95.3125
SEA,2024,13,993,4068,4.1,0,0,0,156.08,0,0,0,0,997,4069,4.08,0,0,0,0,0,0,0,54.6875,59.375
MIN,2024,13,943,4135,4.38,0,0,0,168.5,0,0,0,0,998,3903,3.91,0,0,0,0,0,0,0,65.625,84.375
PIT,2024,13,1013,4128,4.08,0,0,0,161.5,0,0,0,0,932,3738,4.01,0,0,0,0,0,0,0,46.875,73.4375
PHI,2024,13,988,4536,4.59,0,0,0,170.42,0,0,0,0,927,3399,3.67,0,0,0,0,0,0,0,79.6875,100.0
KC,2024,13,995,4099,4.12,0,0,0,187.75,0,0,0,0,932,3745,4.02,0,0,0,0,0,0,0,59.375,67.1875
NO,2024,13,963,4150,4.31,0,0,0,193.83,0,0,0,0,992,4625,4.66,0,0,0,0,0,0,0,62.5,6.25
TB,2024,13,981,4512,4.6,0,0,0,197.25,0,0,0,0,1008,4505,4.47,0,0,0,0,0,0,0,85.9375,18.75
CAR,2024,13,930,3510,3.77,0,0,0,152.83,0,0,0,0,1037,4709,4.54,0,0,0,0,0,0,0,23.4375,12.5
DAL,2024,13,1036,3874,3.74,0,0,0,174.83,0,0,0,0,979,4318,4.41,0,0,0,0,0,0,0,18.75,28.125
DEN,2024,13,1042,4162,3.99,0,0,0,158.85,0,0,0,0,1101,4108,3.73,0,0,0,0,0,0,0,37.5,95.3125
LV,2024,13,971,3657,3.77,0,0,0,143.33,0,0,0,0,994,3907,3.93,0,0,0,0,0,0,0,23.4375,81.25
CIN,2024,13,962,4274,4.44,0,0,0,162.58,0,0,0,0,1010,4434,4.39,0,0,0,0,0,0,0,71.875,31.25
CLE,2024,13,1044,3779,3.62,0,0,0,130.92,0,0,0,0,950,4195,4.42,0,0,0,0,0,0,0,7.8125,25.0
ARI,2024,13,907,4172,4.6,0,0,0,175.58,0,0,0,0,933,4020,4.31,0,0,0,0,0,0,0,85.9375,39.0625
JAX,2024,13,878,3580,4.08,0,0,0,121.92,0,0,0,0,1029,4877,4.74,0,0,0,0,0,0,0,46.875,3.125
BAL,2024,13,1065,5469,5.14,0,0,0,199.69,0,0,0,0,1104,4523,4.1,0,0,0,0,0,0,0,100.0,56.25
HOU,2024,13,1098,4358,3.97,0,0,0,183.38,0,0,0,0,1046,4011,3.83,0,0,0,0,0,0,0,31.25,87.5
TEN,2024,13,971,3568,3.67,0,0,0,165.42,0,0,0,0,931,3505,3.76,0,0,0,0,0,0,0,15.625,90.625
IND,2024,13,988,4050,4.1,0,0,0,149.62,0,0,0,0,1102,4934,4.48,0,0,0,0,0,0,0,54.6875,15.625
ATL,2024,13,975,4345,4.46,0,0,0,184.25,0,0,0,0,956,4121,4.31,0,0,0,0,0,0,0,75.0,39.0625
NYG,2024,13,990,3589,3.63,0,0,0,135.0,0,0,0,0,932,4082,4.38,0,0,0,0,0,0,0,12.5,34.375
NE,2024,13,1046,3786,3.62,0,0,0,137.23,0,0,0,0,1029,4427,4.3,0,0,0,0,0,0,0,7.8125,43.75
