team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
NO,2025,11,504,1832,3.63,0,0,0,180.67,0,0,0,0,480,1966,4.1,0,0,0,0,0,0,0,18.75,60.9375
CAR,2025,11,505,1985,3.93,0,0,0,149.33,0,0,0,0,430,1851,4.3,0,0,0,0,0,0,0,29.6875,31.25
SF,2025,11,517,2244,4.34,0,0,0,184.17,0,0,0,0,471,1930,4.1,0,0,0,0,0,0,0,65.625,60.9375
SEA,2025,11,443,2138,4.83,0,0,0,170.5,0,0,0,0,511,1891,3.7,0,0,0,0,0,0,0,93.75,78.125
TEN,2025,11,468,1394,2.98,0,0,0,117.83,0,0,0,0,481,2060,4.28,0,0,0,0,0,0,0,3.125,34.375
IND,2025,11,464,2263,4.88,0,0,0,197.33,0,0,0,0,475,1977,4.16,0,0,0,0,0,0,0,100.0,46.875
TB,2025,11,492,2123,4.32,0,0,0,144.67,0,0,0,0,472,1917,4.06,0,0,0,0,0,0,0,62.5,65.625
MIN,2025,11,386,1529,3.96,0,0,0,137.6,0,0,0,0,398,1449,3.64,0,0,0,0,0,0,0,34.375,84.375
WAS,2025,11,466,2078,4.46,0,0,0,161.17,0,0,0,0,489,2143,4.38,0,0,0,0,0,0,0,71.875,21.875
BUF,2025,11,491,2270,4.62,0,0,0,173.67,0,0,0,0,449,1941,4.32,0,0,0,0,0,0,0,90.625,28.125
CLE,2025,11,529,1689,3.19,0,0,0,123.33,0,0,0,0,452,1574,3.48,0,0,0,0,0,0,0,9.375,93.75
DET,2025,11,462,2122,4.59,0,0,0,185.33,0,0,0,0,459,1849,4.03,0,0,0,0,0,0,0,87.5,68.75
KC,2025,11,474,2160,4.56,0,0,0,168.17,0,0,0,0,441,1867,4.23,0,0,0,0,0,0,0,84.375,37.5
HOU,2025,11,376,1572,4.18,0,0,0,151.2,0,0,0,0,381,1329,3.49,0,0,0,0,0,0,0,53.125,90.625
LAR,2025,11,464,2250,4.85,0,0,0,163.17,0,0,0,0,513,1841,3.59,0,0,0,0,0,0,0,96.875,87.5
BAL,2025,11,439,1855,4.23,0,0,0,142.0,0,0,0,0,512,2285,4.46,0,0,0,0,0,0,0,56.25,18.75
NYJ,2025,11,479,1668,3.48,0,0,0,121.83,0,0,0,0,480,1983,4.13,0,0,0,0,0,0,0,12.5,56.25
MIA,2025,11,424,1736,4.09,0,0,0,142.0,0,0,0,0,485,2323,4.79,0,0,0,0,0,0,0,43.75,9.375
NE,2025,11,469,2020,4.31,0,0,0,186.17,0,0,0,0,458,1935,4.22,0,0,0,0,0,0,0,59.375,40.625
ATL,2025,11,421,1895,4.5,0,0,0,207.0,0,0,0,0,348,1269,3.65,0,0,0,0,0,0,0,76.5625,81.25
JAX,2025,11,504,2009,3.99,0,0,0,193.67,0,0,0,0,464,2089,4.5,0,0,0,0,0,0,0,40.625,15.625
ARI,2025,11,488,1842,3.77,0,0,0,146.83,0,0,0,0,504,2088,4.14,0,0,0,0,0,0,0,21.875,53.125
DAL,2025,11,511,2327,4.55,0,0,0,186.67,0,0,0,0,519,2474,4.77,0,0,0,0,0,0,0,81.25,12.5
LV,2025,11,463,1842,3.98,0,0,0,139.17,0,0,0,0,468,1868,3.99,0,0,0,0,0,0,0,37.5,71.875
DEN,2025,11,494,2024,4.1,0,0,0,164.5,0,0,0,0,483,1525,3.16,0,0,0,0,0,0,0,46.875,100.0
GB,2025,11,400,1798,4.5,0,0,0,194.6,0,0,0,0,415,1405,3.39,0,0,0,0,0,0,0,76.5625,96.875
CIN,2025,11,451,1413,3.13,0,0,0,106.17,0,0,0,0,496,2388,4.81,0,0,0,0,0,0,0,6.25,6.25
PIT,2025,11,354,1391,3.93,0,0,0,143.0,0,0,0,0,429,1780,4.15,0,0,0,0,0,0,0,29.6875,50.0
PHI,2025,11,458,1647,3.6,0,0,0,160.17,0,0,0,0,490,2059,4.2,0,0,0,0,0,0,0,15.625,43.75
NYG,2025,11,507,1971,3.89,0,0,0,161.5,0,0,0,0,510,2227,4.37,0,0,0,0,0,0,0,25.0,25.0
CHI,2025,11,408,1693,4.15,0,0,0,180.4,0,0,0,0,377,1851,4.91,0,0,0,0,0,0,0,50.0,3.125
LAC,2025,11,494,2166,4.38,0,0,0,185.83,0,0,0,0,465,1812,3.9,0,0,0,0,0,0,0,68.75,75.0
