team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BAL,2024,9,741,3988,5.38,0,0,0,216.67,0,0,0,0,752,3213,4.27,0,0,0,0,0,0,0,100.0,37.5
KC,2024,9,669,2820,4.22,0,0,0,188.88,0,0,0,0,608,2349,3.86,0,0,0,0,0,0,0,57.8125,84.375
GB,2024,9,743,3514,4.73,0,0,0,209.89,0,0,0,0,708,2880,4.07,0,0,0,0,0,0,0,87.5,64.0625
PHI,2024,9,659,3021,4.58,0,0,0,164.5,0,0,0,0,604,2325,3.85,0,0,0,0,0,0,0,75.0,87.5
ATL,2024,9,714,3301,4.62,0,0,0,195.0,0,0,0,0,753,3167,4.21,0,0,0,0,0,0,0,81.25,45.3125
PIT,2024,9,650,2625,4.04,0,0,0,159.38,0,0,0,0,619,2486,4.02,0,0,0,0,0,0,0,46.875,68.75
ARI,2024,9,666,3062,4.6,0,0,0,170.0,0,0,0,0,723,3255,4.5,0,0,0,0,0,0,0,78.125,25.0
BUF,2024,9,696,3019,4.34,0,0,0,162.11,0,0,0,0,717,3002,4.19,0,0,0,0,0,0,0,65.625,50.0
TEN,2024,9,665,2371,3.57,0,0,0,172.62,0,0,0,0,600,2155,3.59,0,0,0,0,0,0,0,15.625,93.75
CHI,2024,9,673,2361,3.51,0,0,0,156.62,0,0,0,0,627,2583,4.12,0,0,0,0,0,0,0,9.375,56.25
CIN,2024,9,684,2977,4.35,0,0,0,160.89,0,0,0,0,755,3088,4.09,0,0,0,0,0,0,0,68.75,59.375
NE,2024,9,709,2381,3.36,0,0,0,114.67,0,0,0,0,722,3255,4.51,0,0,0,0,0,0,0,6.25,21.875
IND,2024,9,682,2834,4.16,0,0,0,145.67,0,0,0,0,772,3452,4.47,0,0,0,0,0,0,0,53.125,28.125
HOU,2024,9,779,3133,4.02,0,0,0,189.67,0,0,0,0,695,2534,3.65,0,0,0,0,0,0,0,42.1875,90.625
MIA,2024,9,654,2599,3.97,0,0,0,157.62,0,0,0,0,608,2427,3.99,0,0,0,0,0,0,0,37.5,71.875
JAX,2024,9,671,2892,4.31,0,0,0,128.67,0,0,0,0,767,3504,4.57,0,0,0,0,0,0,0,62.5,10.9375
NO,2024,9,742,2983,4.02,0,0,0,182.44,0,0,0,0,741,3390,4.57,0,0,0,0,0,0,0,42.1875,10.9375
CAR,2024,9,683,2501,3.66,0,0,0,138.22,0,0,0,0,754,3531,4.68,0,0,0,0,0,0,0,18.75,6.25
NYG,2024,9,744,2755,3.7,0,0,0,151.33,0,0,0,0,688,3009,4.37,0,0,0,0,0,0,0,21.875,31.25
MIN,2024,9,609,2690,4.42,0,0,0,176.5,0,0,0,0,674,2660,3.95,0,0,0,0,0,0,0,71.875,75.0
LAC,2024,9,615,2522,4.1,0,0,0,177.38,0,0,0,0,622,2430,3.91,0,0,0,0,0,0,0,50.0,81.25
LV,2024,9,712,2526,3.55,0,0,0,139.56,0,0,0,0,740,2900,3.92,0,0,0,0,0,0,0,12.5,78.125
SEA,2024,9,767,3235,4.22,0,0,0,166.67,0,0,0,0,768,3234,4.21,0,0,0,0,0,0,0,57.8125,45.3125
DEN,2024,9,724,2777,3.84,0,0,0,150.0,0,0,0,0,743,2659,3.58,0,0,0,0,0,0,0,28.125,96.875
DAL,2024,9,684,2691,3.93,0,0,0,179.38,0,0,0,0,644,2918,4.53,0,0,0,0,0,0,0,31.25,17.1875
CLE,2024,9,774,2474,3.2,0,0,0,100.0,0,0,0,0,710,2954,4.16,0,0,0,0,0,0,0,3.125,53.125
TB,2024,9,727,3402,4.68,0,0,0,203.33,0,0,0,0,769,3480,4.53,0,0,0,0,0,0,0,84.375,17.1875
WAS,2024,9,723,3530,4.88,0,0,0,202.22,0,0,0,0,677,2939,4.34,0,0,0,0,0,0,0,93.75,34.375
LAR,2024,9,687,2631,3.83,0,0,0,148.0,0,0,0,0,613,2881,4.7,0,0,0,0,0,0,0,25.0,3.125
DET,2024,9,613,2957,4.82,0,0,0,186.88,0,0,0,0,673,2859,4.25,0,0,0,0,0,0,0,90.625,40.625
NYJ,2024,9,704,2780,3.95,0,0,0,138.22,0,0,0,0,738,2618,3.55,0,0,0,0,0,0,0,34.375,100.0
SF,2024,9,640,3302,5.16,0,0,0,206.0,0,0,0,0,619,2517,4.07,0,0,0,0,0,0,0,96.875,64.0625
