team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,18,1268,5848,4.61,0,0,0,186.25,0,0,0,0,1284,5501,4.28,0,0,0,0,0,0,0,84.375,40.625
LAR,2024,18,1302,5230,4.02,0,0,0,144.38,0,0,0,0,1247,5664,4.54,0,0,0,0,0,0,0,40.625,12.5
DET,2024,18,1306,6570,5.03,0,0,0,204.38,0,0,0,0,1292,5560,4.3,0,0,0,0,0,0,0,96.875,37.5
WAS,2024,18,1342,6023,4.49,0,0,0,178.31,0,0,0,0,1258,5182,4.12,0,0,0,0,0,0,0,75.0,56.25
SF,2024,18,1231,5964,4.84,0,0,0,194.31,0,0,0,0,1235,5004,4.05,0,0,0,0,0,0,0,90.625,62.5
GB,2024,18,1259,5937,4.72,0,0,0,196.31,0,0,0,0,1272,5125,4.03,0,0,0,0,0,0,0,87.5,65.625
LAC,2024,18,1231,5044,4.1,0,0,0,182.19,0,0,0,0,1282,5250,4.1,0,0,0,0,0,0,0,56.25,59.375
MIA,2024,18,1290,5202,4.03,0,0,0,161.0,0,0,0,0,1259,4974,3.95,0,0,0,0,0,0,0,43.75,85.9375
CHI,2024,18,1315,4602,3.5,0,0,0,137.44,0,0,0,0,1241,5655,4.56,0,0,0,0,0,0,0,3.125,9.375
NYJ,2024,18,1238,4908,3.96,0,0,0,136.81,0,0,0,0,1300,5003,3.85,0,0,0,0,0,0,0,34.375,96.875
SEA,2024,18,1297,5311,4.09,0,0,0,164.5,0,0,0,0,1319,5273,4.0,0,0,0,0,0,0,0,51.5625,70.3125
MIN,2024,18,1289,5636,4.37,0,0,0,169.06,0,0,0,0,1333,5319,3.99,0,0,0,0,0,0,0,65.625,75.0
NE,2024,18,1267,4657,3.68,0,0,0,137.69,0,0,0,0,1276,5574,4.37,0,0,0,0,0,0,0,12.5,25.0
CAR,2024,18,1242,4643,3.74,0,0,0,154.38,0,0,0,0,1375,6346,4.62,0,0,0,0,0,0,0,17.1875,3.125
PIT,2024,18,1318,5237,3.97,0,0,0,156.0,0,0,0,0,1267,5246,4.14,0,0,0,0,0,0,0,37.5,53.125
PHI,2024,18,1327,5945,4.48,0,0,0,175.44,0,0,0,0,1224,4502,3.68,0,0,0,0,0,0,0,71.875,100.0
KC,2024,18,1332,5472,4.11,0,0,0,186.12,0,0,0,0,1243,4974,4.0,0,0,0,0,0,0,0,59.375,70.3125
NO,2024,18,1264,5152,4.08,0,0,0,174.56,0,0,0,0,1352,6070,4.49,0,0,0,0,0,0,0,46.875,15.625
TB,2024,18,1316,6399,4.86,0,0,0,207.75,0,0,0,0,1299,5518,4.25,0,0,0,0,0,0,0,93.75,43.75
DAL,2024,18,1351,5191,3.84,0,0,0,178.0,0,0,0,0,1308,5772,4.41,0,0,0,0,0,0,0,25.0,21.875
DEN,2024,18,1279,5039,3.94,0,0,0,156.0,0,0,0,0,1374,5299,3.86,0,0,0,0,0,0,0,31.25,93.75
LV,2024,18,1310,4894,3.74,0,0,0,143.88,0,0,0,0,1306,5165,3.95,0,0,0,0,0,0,0,17.1875,85.9375
NYG,2024,18,1322,4775,3.61,0,0,0,133.12,0,0,0,0,1260,5594,4.44,0,0,0,0,0,0,0,9.375,18.75
CIN,2024,18,1312,5902,4.5,0,0,0,177.5,0,0,0,0,1318,5732,4.35,0,0,0,0,0,0,0,78.125,32.8125
CLE,2024,18,1372,4894,3.57,0,0,0,123.56,0,0,0,0,1268,5379,4.24,0,0,0,0,0,0,0,6.25,46.875
HOU,2024,18,1306,5061,3.88,0,0,0,175.5,0,0,0,0,1287,5042,3.92,0,0,0,0,0,0,0,28.125,90.625
ARI,2024,18,1255,5703,4.54,0,0,0,176.0,0,0,0,0,1238,5389,4.35,0,0,0,0,0,0,0,81.25,32.8125
JAX,2024,18,1196,4895,4.09,0,0,0,133.12,0,0,0,0,1348,6202,4.6,0,0,0,0,0,0,0,51.5625,6.25
BAL,2024,18,1288,6764,5.25,0,0,0,205.81,0,0,0,0,1332,5285,3.97,0,0,0,0,0,0,0,100.0,78.125
TEN,2024,18,1287,4862,3.78,0,0,0,157.31,0,0,0,0,1242,4919,3.96,0,0,0,0,0,0,0,21.875,81.25
IND,2024,18,1252,5264,4.2,0,0,0,161.62,0,0,0,0,1335,5827,4.36,0,0,0,0,0,0,0,62.5,28.125
ATL,2024,18,1302,5770,4.43,0,0,0,185.69,0,0,0,0,1292,5449,4.22,0,0,0,0,0,0,0,68.75,50.0
