team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,15,1111,5176,4.66,0,0,0,189.29,0,0,0,0,1119,4839,4.32,0,0,0,0,0,0,0,84.375,40.625
LAR,2024,15,1170,4731,4.04,0,0,0,144.71,0,0,0,0,1077,4947,4.59,0,0,0,0,0,0,0,51.5625,6.25
DET,2024,15,1143,5654,4.95,0,0,0,194.79,0,0,0,0,1129,4703,4.17,0,0,0,0,0,0,0,96.875,50.0
WAS,2024,15,1162,5241,4.51,0,0,0,184.36,0,0,0,0,1085,4507,4.15,0,0,0,0,0,0,0,75.0,56.25
SF,2024,15,1067,5115,4.79,0,0,0,192.0,0,0,0,0,1072,4182,3.9,0,0,0,0,0,0,0,93.75,84.375
GB,2024,15,1101,5260,4.78,0,0,0,200.5,0,0,0,0,1112,4488,4.04,0,0,0,0,0,0,0,90.625,62.5
LAC,2024,15,1060,4234,3.99,0,0,0,177.5,0,0,0,0,1133,4714,4.16,0,0,0,0,0,0,0,40.625,53.125
MIA,2024,15,1135,4541,4.0,0,0,0,158.43,0,0,0,0,1086,4324,3.98,0,0,0,0,0,0,0,43.75,78.125
CHI,2024,15,1160,4041,3.48,0,0,0,133.79,0,0,0,0,1098,4915,4.48,0,0,0,0,0,0,0,3.125,12.5
NYJ,2024,15,1084,4304,3.97,0,0,0,134.79,0,0,0,0,1155,4413,3.82,0,0,0,0,0,0,0,37.5,89.0625
SEA,2024,15,1149,4685,4.08,0,0,0,161.43,0,0,0,0,1163,4796,4.12,0,0,0,0,0,0,0,56.25,59.375
MIN,2024,15,1116,4897,4.39,0,0,0,165.79,0,0,0,0,1172,4685,4.0,0,0,0,0,0,0,0,65.625,70.3125
NE,2024,15,1110,4097,3.69,0,0,0,133.79,0,0,0,0,1111,4822,4.34,0,0,0,0,0,0,0,12.5,31.25
PIT,2024,15,1151,4558,3.96,0,0,0,153.21,0,0,0,0,1115,4439,3.98,0,0,0,0,0,0,0,34.375,78.125
PHI,2024,15,1153,5231,4.54,0,0,0,169.07,0,0,0,0,1067,3864,3.62,0,0,0,0,0,0,0,78.125,100.0
KC,2024,15,1171,4708,4.02,0,0,0,188.14,0,0,0,0,1079,4299,3.98,0,0,0,0,0,0,0,46.875,78.125
NO,2024,15,1116,4687,4.2,0,0,0,179.86,0,0,0,0,1181,5278,4.47,0,0,0,0,0,0,0,62.5,15.625
TB,2024,15,1140,5438,4.77,0,0,0,199.5,0,0,0,0,1155,4997,4.33,0,0,0,0,0,0,0,87.5,35.9375
CAR,2024,15,1088,4047,3.72,0,0,0,154.29,0,0,0,0,1196,5413,4.53,0,0,0,0,0,0,0,18.75,9.375
DAL,2024,15,1198,4606,3.84,0,0,0,174.57,0,0,0,0,1141,4986,4.37,0,0,0,0,0,0,0,25.0,28.125
DEN,2024,15,1123,4355,3.88,0,0,0,154.14,0,0,0,0,1191,4418,3.71,0,0,0,0,0,0,0,28.125,96.875
LV,2024,15,1132,4192,3.7,0,0,0,135.93,0,0,0,0,1147,4588,4.0,0,0,0,0,0,0,0,15.625,70.3125
CIN,2024,15,1138,5077,4.46,0,0,0,174.93,0,0,0,0,1169,5130,4.39,0,0,0,0,0,0,0,68.75,23.4375
CLE,2024,15,1207,4345,3.6,0,0,0,126.36,0,0,0,0,1123,4773,4.25,0,0,0,0,0,0,0,9.375,46.875
NYG,2024,15,1169,4152,3.55,0,0,0,128.71,0,0,0,0,1089,4819,4.43,0,0,0,0,0,0,0,6.25,18.75
ARI,2024,15,1075,4925,4.58,0,0,0,176.21,0,0,0,0,1079,4740,4.39,0,0,0,0,0,0,0,81.25,23.4375
JAX,2024,15,1045,4292,4.11,0,0,0,128.21,0,0,0,0,1177,5551,4.72,0,0,0,0,0,0,0,59.375,3.125
BAL,2024,15,1137,5914,5.2,0,0,0,202.21,0,0,0,0,1186,4759,4.01,0,0,0,0,0,0,0,100.0,65.625
HOU,2024,15,1163,4539,3.9,0,0,0,176.43,0,0,0,0,1127,4235,3.76,0,0,0,0,0,0,0,31.25,93.75
TEN,2024,15,1129,4214,3.73,0,0,0,160.07,0,0,0,0,1090,4166,3.82,0,0,0,0,0,0,0,21.875,89.0625
IND,2024,15,1078,4360,4.04,0,0,0,150.07,0,0,0,0,1183,5127,4.33,0,0,0,0,0,0,0,51.5625,35.9375
ATL,2024,15,1143,5104,4.47,0,0,0,185.43,0,0,0,0,1117,4803,4.3,0,0,0,0,0,0,0,71.875,43.75
