player_id,player_name,week,position,team,opponent,passing_attempts,passing_completions,passing_yards,passing_touchdowns,interceptions,red_zone_passes,red_zone_completions,deep_ball_attempts,pressured_attempts,rushing_attempts,rushing_yards,rushing_touchdowns,season,imported_at
00-0033873,Patrick Mahomes,6,QB,KC,DET,30,22,257,3,0,8,5,1,0,10,32,1,2025,2025-10-22T19:02:21.139007
00-0036355,Justin Herbert,6,QB,LAC,MIA,38,29,264,2,0,12,9,2,1,1,2,0,2025,2025-10-22T19:02:21.139007
00-0026498,Matthew Stafford,6,QB,LAR,BAL,26,17,181,1,0,5,1,2,0,4,1,0,2025,2025-10-22T19:02:21.139007
00-0030565,Geno Smith,6,QB,LV,TEN,23,17,174,1,1,4,3,0,1,4,-3,0,2025,2025-10-22T19:02:21.139007
00-0036212,Tua Tagovailoa,6,QB,MIA,LAC,32,21,205,1,3,5,4,1,1,1,4,0,2025,2025-10-22T19:02:21.139007
00-0039851,Drake Maye,6,QB,NE,NO,26,18,261,3,0,1,1,6,0,9,28,0,2025,2025-10-22T19:02:21.139007
00-0039376,Spencer Rattler,6,QB,NO,NE,26,20,227,0,0,2,0,5,0,4,20,0,2025,2025-10-22T19:02:21.139007
00-0033357,Taysom Hill,6,QB,NO,NE,0,0,0,0,0,0,0,0,0,1,1,1,2025,2025-10-22T19:02:21.139007
00-0040691,Jaxson Dart,6,QB,NYG,PHI,25,17,195,1,0,3,0,3,0,13,58,1,2025,2025-10-22T19:02:21.139007
00-0029263,Russell Wilson,6,QB,NYG,PHI,1,0,0,0,0,0,0,0,0,0,0,0,2025,2025-10-22T19:02:21.139007
00-0036945,Justin Fields,6,QB,NYJ,DEN,17,9,45,0,0,2,0,1,0,7,31,0,2025,2025-10-22T19:02:21.139007
00-0036389,Jalen Hurts,6,QB,PHI,NYG,33,24,283,1,1,7,4,5,0,7,13,1,2025,2025-10-22T19:02:21.139007
00-0023459,Aaron Rodgers,6,QB,PIT,CLE,30,21,235,2,0,1,1,5,0,1,1,0,2025,2025-10-22T19:02:21.139007
00-0034869,Sam Darnold,6,QB,SEA,JAX,27,16,295,2,0,1,1,8,1,4,2,0,2025,2025-10-22T19:02:21.139007
00-0036972,Mac Jones,6,QB,SF,TB,39,27,347,0,2,3,2,5,0,5,13,0,2025,2025-10-22T19:02:21.139007
00-0034855,Baker Mayfield,6,QB,TB,SF,23,17,256,2,0,1,1,3,0,3,14,0,2025,2025-10-22T19:02:21.139007
00-0040676,Cameron Ward,6,QB,TEN,LV,38,26,222,1,1,5,4,6,1,0,0,0,2025,2025-10-22T19:02:21.139007
00-0039910,Jayden Daniels,6,QB,WAS,CHI,26,19,211,3,1,1,1,4,0,10,52,0,2025,2025-10-22T19:02:21.139007
00-0034771,Mason Rudolph,6,QB,,CLE,0,0,0,0,0,0,0,0,0,3,0,0,2025,2025-10-22T19:02:21.139007
00-0036971,Trevor Lawrence,6,QB,,SEA,42,27,258,2,0,0,0,0,0,3,9,0,2025,2025-10-22T19:02:21.139007
