team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BAL,2024,4,332,1693,5.1,0,0,0,232.75,0,0,0,0,318,1261,3.97,0,0,0,0,0,0,0,96.875,65.625
KC,2024,4,308,1313,4.26,0,0,0,170.25,0,0,0,0,321,1307,4.07,0,0,0,0,0,0,0,59.375,51.5625
GB,2024,4,339,1642,4.84,0,0,0,219.5,0,0,0,0,315,1359,4.31,0,0,0,0,0,0,0,90.625,28.125
PHI,2024,4,331,1466,4.43,0,0,0,154.75,0,0,0,0,316,1463,4.63,0,0,0,0,0,0,0,68.75,9.375
ATL,2024,4,287,1237,4.31,0,0,0,170.75,0,0,0,0,343,1348,3.93,0,0,0,0,0,0,0,62.5,68.75
PIT,2024,4,329,1271,3.86,0,0,0,153.5,0,0,0,0,285,1047,3.67,0,0,0,0,0,0,0,43.75,84.375
ARI,2024,4,293,1334,4.55,0,0,0,175.0,0,0,0,0,314,1421,4.53,0,0,0,0,0,0,0,81.25,15.625
BUF,2024,4,290,1223,4.22,0,0,0,176.75,0,0,0,0,321,1289,4.02,0,0,0,0,0,0,0,56.25,62.5
TEN,2024,4,314,1025,3.26,0,0,0,140.75,0,0,0,0,299,977,3.27,0,0,0,0,0,0,0,12.5,96.875
CHI,2024,4,338,1014,3.0,0,0,0,121.25,0,0,0,0,313,1182,3.78,0,0,0,0,0,0,0,6.25,78.125
CIN,2024,4,298,1353,4.54,0,0,0,165.5,0,0,0,0,317,1307,4.12,0,0,0,0,0,0,0,76.5625,45.3125
NE,2024,4,305,952,3.12,0,0,0,113.75,0,0,0,0,308,1413,4.59,0,0,0,0,0,0,0,9.375,12.5
IND,2024,4,279,1305,4.68,0,0,0,160.5,0,0,0,0,364,1599,4.39,0,0,0,0,0,0,0,84.375,25.0
HOU,2024,4,350,1458,4.17,0,0,0,199.0,0,0,0,0,301,1095,3.64,0,0,0,0,0,0,0,50.0,87.5
MIA,2024,4,325,1140,3.51,0,0,0,129.0,0,0,0,0,292,1128,3.86,0,0,0,0,0,0,0,18.75,75.0
JAX,2024,4,305,1142,3.74,0,0,0,108.25,0,0,0,0,339,1520,4.48,0,0,0,0,0,0,0,31.25,18.75
NO,2024,4,309,1396,4.52,0,0,0,197.25,0,0,0,0,316,1323,4.19,0,0,0,0,0,0,0,71.875,34.375
CAR,2024,4,316,1164,3.68,0,0,0,150.25,0,0,0,0,321,1434,4.47,0,0,0,0,0,0,0,28.125,21.875
NYG,2024,4,324,1187,3.66,0,0,0,156.25,0,0,0,0,307,1249,4.07,0,0,0,0,0,0,0,23.4375,51.5625
MIN,2024,4,300,1363,4.54,0,0,0,187.75,0,0,0,0,347,1402,4.04,0,0,0,0,0,0,0,76.5625,59.375
LAC,2024,4,289,1057,3.66,0,0,0,140.75,0,0,0,0,291,1130,3.88,0,0,0,0,0,0,0,23.4375,71.875
LV,2024,4,306,1157,3.78,0,0,0,115.5,0,0,0,0,324,1352,4.17,0,0,0,0,0,0,0,37.5,37.5
SEA,2024,4,356,1548,4.35,0,0,0,171.0,0,0,0,0,320,1135,3.55,0,0,0,0,0,0,0,65.625,90.625
DEN,2024,4,321,1064,3.31,0,0,0,111.0,0,0,0,0,329,1026,3.12,0,0,0,0,0,0,0,15.625,100.0
DAL,2024,4,334,1323,3.96,0,0,0,199.0,0,0,0,0,331,1421,4.29,0,0,0,0,0,0,0,46.875,31.25
CLE,2024,4,337,987,2.93,0,0,0,103.0,0,0,0,0,319,1196,3.75,0,0,0,0,0,0,0,3.125,81.25
TB,2024,4,304,1276,4.2,0,0,0,187.0,0,0,0,0,323,1341,4.15,0,0,0,0,0,0,0,53.125,40.625
WAS,2024,4,318,1531,4.81,0,0,0,182.5,0,0,0,0,294,1428,4.86,0,0,0,0,0,0,0,87.5,6.25
LAR,2024,4,326,1250,3.83,0,0,0,143.0,0,0,0,0,296,1541,5.21,0,0,0,0,0,0,0,40.625,3.125
DET,2024,4,319,1588,4.98,0,0,0,180.75,0,0,0,0,339,1396,4.12,0,0,0,0,0,0,0,93.75,45.3125
NYJ,2024,4,313,1179,3.77,0,0,0,132.25,0,0,0,0,305,1026,3.36,0,0,0,0,0,0,0,34.375,93.75
SF,2024,4,323,1656,5.13,0,0,0,202.5,0,0,0,0,290,1178,4.06,0,0,0,0,0,0,0,100.0,56.25
