team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,16,1184,5500,4.65,0,0,0,185.93,0,0,0,0,1209,5218,4.32,0,0,0,0,0,0,0,84.375,35.9375
LAR,2024,16,1231,4973,4.04,0,0,0,142.87,0,0,0,0,1156,5268,4.56,0,0,0,0,0,0,0,42.1875,9.375
DET,2024,16,1223,6129,5.01,0,0,0,203.93,0,0,0,0,1211,5085,4.2,0,0,0,0,0,0,0,96.875,50.0
WAS,2024,16,1244,5611,4.51,0,0,0,182.47,0,0,0,0,1178,4845,4.11,0,0,0,0,0,0,0,78.125,56.25
SF,2024,16,1150,5489,4.77,0,0,0,189.93,0,0,0,0,1152,4563,3.96,0,0,0,0,0,0,0,89.0625,82.8125
GB,2024,16,1183,5664,4.79,0,0,0,201.93,0,0,0,0,1182,4684,3.96,0,0,0,0,0,0,0,93.75,82.8125
LAC,2024,16,1139,4616,4.05,0,0,0,177.73,0,0,0,0,1215,5069,4.17,0,0,0,0,0,0,0,48.4375,53.125
MIA,2024,16,1215,4922,4.05,0,0,0,161.2,0,0,0,0,1169,4698,4.02,0,0,0,0,0,0,0,48.4375,67.1875
CHI,2024,16,1242,4423,3.56,0,0,0,139.87,0,0,0,0,1178,5390,4.58,0,0,0,0,0,0,0,6.25,6.25
NYJ,2024,16,1163,4625,3.98,0,0,0,138.47,0,0,0,0,1216,4655,3.83,0,0,0,0,0,0,0,37.5,90.625
SEA,2024,16,1234,5046,4.09,0,0,0,163.6,0,0,0,0,1246,5094,4.09,0,0,0,0,0,0,0,54.6875,59.375
MIN,2024,16,1199,5195,4.33,0,0,0,165.4,0,0,0,0,1257,5046,4.01,0,0,0,0,0,0,0,65.625,71.875
NE,2024,16,1200,4476,3.73,0,0,0,140.8,0,0,0,0,1184,5146,4.35,0,0,0,0,0,0,0,15.625,28.125
CAR,2024,16,1176,4439,3.77,0,0,0,154.33,0,0,0,0,1285,5795,4.51,0,0,0,0,0,0,0,21.875,12.5
PIT,2024,16,1227,4873,3.97,0,0,0,154.33,0,0,0,0,1192,4857,4.07,0,0,0,0,0,0,0,34.375,62.5
PHI,2024,16,1246,5569,4.47,0,0,0,175.4,0,0,0,0,1149,4234,3.68,0,0,0,0,0,0,0,73.4375,100.0
KC,2024,16,1257,5083,4.04,0,0,0,186.87,0,0,0,0,1152,4610,4.0,0,0,0,0,0,0,0,42.1875,75.0
NO,2024,16,1186,4883,4.12,0,0,0,173.27,0,0,0,0,1263,5682,4.5,0,0,0,0,0,0,0,59.375,15.625
TB,2024,16,1226,5848,4.77,0,0,0,199.13,0,0,0,0,1233,5314,4.31,0,0,0,0,0,0,0,89.0625,40.625
DAL,2024,16,1276,4923,3.86,0,0,0,179.13,0,0,0,0,1227,5396,4.4,0,0,0,0,0,0,0,25.0,23.4375
DEN,2024,16,1205,4710,3.91,0,0,0,159.6,0,0,0,0,1270,4800,3.78,0,0,0,0,0,0,0,28.125,96.875
LV,2024,16,1221,4506,3.69,0,0,0,139.0,0,0,0,0,1228,4896,3.99,0,0,0,0,0,0,0,12.5,78.125
NYG,2024,16,1246,4386,3.52,0,0,0,127.33,0,0,0,0,1168,5148,4.41,0,0,0,0,0,0,0,3.125,18.75
CIN,2024,16,1208,5403,4.47,0,0,0,178.53,0,0,0,0,1244,5403,4.34,0,0,0,0,0,0,0,73.4375,31.25
CLE,2024,16,1282,4618,3.6,0,0,0,123.67,0,0,0,0,1193,5099,4.27,0,0,0,0,0,0,0,9.375,43.75
ARI,2024,16,1164,5307,4.56,0,0,0,178.4,0,0,0,0,1167,5132,4.4,0,0,0,0,0,0,0,81.25,23.4375
JAX,2024,16,1126,4600,4.09,0,0,0,129.4,0,0,0,0,1266,5865,4.63,0,0,0,0,0,0,0,54.6875,3.125
BAL,2024,16,1214,6332,5.22,0,0,0,202.13,0,0,0,0,1262,5074,4.02,0,0,0,0,0,0,0,100.0,67.1875
HOU,2024,16,1236,4850,3.92,0,0,0,178.87,0,0,0,0,1213,4610,3.8,0,0,0,0,0,0,0,31.25,93.75
TEN,2024,16,1205,4525,3.76,0,0,0,158.8,0,0,0,0,1172,4624,3.95,0,0,0,0,0,0,0,18.75,87.5
IND,2024,16,1160,4818,4.15,0,0,0,158.33,0,0,0,0,1259,5438,4.32,0,0,0,0,0,0,0,62.5,35.9375
ATL,2024,16,1222,5433,4.45,0,0,0,184.8,0,0,0,0,1194,5037,4.22,0,0,0,0,0,0,0,68.75,46.875
