team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
NO,2025,1,93,315,3.39,0,0,0,140.0,0,0,0,0,81,276,3.41,0,0,0,0,0,0,0,18.75,81.25
TB,2025,1,72,260,3.61,0,0,0,120.0,0,0,0,0,91,358,3.93,0,0,0,0,0,0,0,40.625,46.875
BUF,2025,1,105,497,4.73,0,0,0,167.0,0,0,0,0,70,432,6.17,0,0,0,0,0,0,0,78.125,3.125
BAL,2025,1,70,432,6.17,0,0,0,212.0,0,0,0,0,105,497,4.73,0,0,0,0,0,0,0,100.0,25.0
JAX,2025,1,79,378,4.78,0,0,0,262.0,0,0,0,0,76,255,3.36,0,0,0,0,0,0,0,81.25,87.5
MIN,2025,1,73,256,3.51,0,0,0,80.0,0,0,0,0,89,317,3.56,0,0,0,0,0,0,0,31.25,65.625
CLE,2025,1,88,327,3.72,0,0,0,111.0,0,0,0,0,68,141,2.07,0,0,0,0,0,0,0,46.875,96.875
CIN,2025,1,68,141,2.07,0,0,0,134.0,0,0,0,0,88,327,3.72,0,0,0,0,0,0,0,6.25,56.25
PHI,2025,1,75,302,4.03,0,0,0,216.0,0,0,0,0,72,307,4.26,0,0,0,0,0,0,0,59.375,37.5
TEN,2025,1,76,133,1.75,0,0,0,103.0,0,0,0,0,91,317,3.48,0,0,0,0,0,0,0,3.125,78.125
GB,2025,1,60,266,4.43,0,0,0,178.0,0,0,0,0,81,246,3.04,0,0,0,0,0,0,0,71.875,90.625
DET,2025,1,81,246,3.04,0,0,0,123.0,0,0,0,0,60,266,4.43,0,0,0,0,0,0,0,12.5,31.25
LAR,2025,1,73,296,4.05,0,0,0,110.0,0,0,0,0,76,265,3.49,0,0,0,0,0,0,0,62.5,75.0
MIA,2025,1,56,213,3.8,0,0,0,43.0,0,0,0,0,83,418,5.04,0,0,0,0,0,0,0,53.125,9.375
CAR,2025,1,76,255,3.36,0,0,0,121.0,0,0,0,0,79,378,4.78,0,0,0,0,0,0,0,15.625,21.875
LAC,2025,1,79,394,4.99,0,0,0,211.0,0,0,0,0,78,347,4.45,0,0,0,0,0,0,0,90.625,28.125
KC,2025,1,78,347,4.45,0,0,0,133.0,0,0,0,0,79,394,4.99,0,0,0,0,0,0,0,75.0,12.5
HOU,2025,1,76,265,3.49,0,0,0,134.0,0,0,0,0,73,296,4.05,0,0,0,0,0,0,0,28.125,40.625
NE,2025,1,90,336,3.73,0,0,0,199.0,0,0,0,0,79,389,4.92,0,0,0,0,0,0,0,50.0,17.1875
IND,2025,1,83,418,5.04,0,0,0,255.0,0,0,0,0,56,213,3.8,0,0,0,0,0,0,0,93.75,50.0
CHI,2025,1,89,317,3.56,0,0,0,172.0,0,0,0,0,73,256,3.51,0,0,0,0,0,0,0,37.5,71.875
LV,2025,1,79,389,4.92,0,0,0,155.0,0,0,0,0,90,336,3.73,0,0,0,0,0,0,0,85.9375,53.125
ARI,2025,1,81,276,3.41,0,0,0,165.0,0,0,0,0,93,315,3.39,0,0,0,0,0,0,0,21.875,84.375
WAS,2025,1,83,432,5.2,0,0,0,219.0,0,0,0,0,81,231,2.85,0,0,0,0,0,0,0,96.875,93.75
PIT,2025,1,74,271,3.66,0,0,0,173.0,0,0,0,0,80,394,4.92,0,0,0,0,0,0,0,43.75,17.1875
DAL,2025,1,72,307,4.26,0,0,0,177.0,0,0,0,0,75,302,4.03,0,0,0,0,0,0,0,65.625,43.75
NYJ,2025,1,80,394,4.92,0,0,0,240.0,0,0,0,0,74,271,3.66,0,0,0,0,0,0,0,85.9375,59.375
SF,2025,1,89,384,4.31,0,0,0,165.0,0,0,0,0,65,230,3.54,0,0,0,0,0,0,0,68.75,68.75
SEA,2025,1,65,230,3.54,0,0,0,122.0,0,0,0,0,89,384,4.31,0,0,0,0,0,0,0,34.375,34.375
ATL,2025,1,91,358,3.93,0,0,0,166.0,0,0,0,0,72,260,3.61,0,0,0,0,0,0,0,56.25,62.5
DEN,2025,1,91,317,3.48,0,0,0,121.0,0,0,0,0,76,133,1.75,0,0,0,0,0,0,0,25.0,100.0
NYG,2025,1,81,231,2.85,0,0,0,79.0,0,0,0,0,83,432,5.2,0,0,0,0,0,0,0,9.375,6.25
