team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BAL,2024,2,180,810,4.5,0,0,0,189.0,0,0,0,0,148,613,4.14,0,0,0,0,0,0,0,78.125,40.625
KC,2024,2,147,639,4.35,0,0,0,156.5,0,0,0,0,173,772,4.46,0,0,0,0,0,0,0,65.625,28.125
GB,2024,2,167,797,4.77,0,0,0,230.5,0,0,0,0,161,748,4.65,0,0,0,0,0,0,0,84.375,18.75
PHI,2024,2,177,777,4.39,0,0,0,179.5,0,0,0,0,157,799,5.09,0,0,0,0,0,0,0,71.875,6.25
ATL,2024,2,140,611,4.36,0,0,0,179.5,0,0,0,0,167,637,3.81,0,0,0,0,0,0,0,68.75,62.5
PIT,2024,2,165,521,3.16,0,0,0,160.5,0,0,0,0,142,521,3.67,0,0,0,0,0,0,0,12.5,76.5625
ARI,2024,2,149,761,5.11,0,0,0,226.0,0,0,0,0,149,597,4.01,0,0,0,0,0,0,0,93.75,50.0
BUF,2024,2,138,599,4.34,0,0,0,164.5,0,0,0,0,163,623,3.82,0,0,0,0,0,0,0,62.5,59.375
TEN,2024,2,162,544,3.36,0,0,0,165.5,0,0,0,0,145,415,2.86,0,0,0,0,0,0,0,18.75,100.0
CHI,2024,2,163,355,2.18,0,0,0,70.5,0,0,0,0,162,554,3.42,0,0,0,0,0,0,0,3.125,81.25
CIN,2024,2,140,544,3.89,0,0,0,125.0,0,0,0,0,157,576,3.67,0,0,0,0,0,0,0,40.625,76.5625
NE,2024,2,163,600,3.68,0,0,0,169.5,0,0,0,0,148,582,3.93,0,0,0,0,0,0,0,29.6875,53.125
IND,2024,2,127,641,5.05,0,0,0,117.5,0,0,0,0,176,800,4.55,0,0,0,0,0,0,0,90.625,25.0
HOU,2024,2,174,727,4.18,0,0,0,206.5,0,0,0,0,149,508,3.41,0,0,0,0,0,0,0,50.0,84.375
MIA,2024,2,174,751,4.32,0,0,0,176.0,0,0,0,0,128,514,4.02,0,0,0,0,0,0,0,57.8125,46.875
JAX,2024,2,144,590,4.1,0,0,0,121.5,0,0,0,0,171,697,4.08,0,0,0,0,0,0,0,46.875,43.75
NO,2024,2,152,811,5.34,0,0,0,269.5,0,0,0,0,162,546,3.37,0,0,0,0,0,0,0,100.0,87.5
CAR,2024,2,140,352,2.51,0,0,0,64.0,0,0,0,0,159,728,4.58,0,0,0,0,0,0,0,6.25,21.875
NYG,2024,2,154,544,3.53,0,0,0,120.0,0,0,0,0,155,737,4.75,0,0,0,0,0,0,0,21.875,15.625
MIN,2024,2,135,715,5.3,0,0,0,211.5,0,0,0,0,170,639,3.76,0,0,0,0,0,0,0,96.875,65.625
LAC,2024,2,154,665,4.32,0,0,0,143.5,0,0,0,0,137,455,3.32,0,0,0,0,0,0,0,57.8125,93.75
LV,2024,2,153,556,3.63,0,0,0,83.0,0,0,0,0,161,674,4.19,0,0,0,0,0,0,0,25.0,37.5
SEA,2024,2,171,662,3.87,0,0,0,142.0,0,0,0,0,176,541,3.07,0,0,0,0,0,0,0,37.5,96.875
DEN,2024,2,166,526,3.17,0,0,0,91.5,0,0,0,0,166,555,3.34,0,0,0,0,0,0,0,15.625,90.625
DAL,2024,2,168,618,3.68,0,0,0,221.0,0,0,0,0,169,662,3.92,0,0,0,0,0,0,0,29.6875,56.25
CLE,2024,2,183,527,2.88,0,0,0,124.5,0,0,0,0,157,588,3.75,0,0,0,0,0,0,0,9.375,70.3125
TB,2024,2,142,608,4.28,0,0,0,171.5,0,0,0,0,172,762,4.43,0,0,0,0,0,0,0,53.125,31.25
WAS,2024,2,162,724,4.47,0,0,0,152.5,0,0,0,0,146,696,4.77,0,0,0,0,0,0,0,75.0,12.5
LAR,2024,2,167,632,3.78,0,0,0,143.5,0,0,0,0,146,852,5.84,0,0,0,0,0,0,0,34.375,3.125
DET,2024,2,169,826,4.89,0,0,0,162.5,0,0,0,0,161,603,3.75,0,0,0,0,0,0,0,87.5,70.3125
NYJ,2024,2,136,531,3.9,0,0,0,88.0,0,0,0,0,166,701,4.22,0,0,0,0,0,0,0,43.75,34.375
SF,2024,2,169,800,4.73,0,0,0,216.5,0,0,0,0,132,669,5.07,0,0,0,0,0,0,0,81.25,9.375
