team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BAL,2024,14,1065,5469,5.14,0,0,0,199.69,0,0,0,0,1104,4523,4.1,0,0,0,0,0,0,0,100.0,56.25
KC,2024,14,1079,4397,4.08,0,0,0,187.69,0,0,0,0,1006,4033,4.01,0,0,0,0,0,0,0,48.4375,73.4375
GB,2024,14,1021,4891,4.79,0,0,0,197.85,0,0,0,0,1038,4280,4.12,0,0,0,0,0,0,0,90.625,53.125
PHI,2024,14,1060,4830,4.56,0,0,0,168.54,0,0,0,0,1010,3701,3.66,0,0,0,0,0,0,0,79.6875,100.0
ATL,2024,14,1065,4843,4.55,0,0,0,189.85,0,0,0,0,1035,4554,4.4,0,0,0,0,0,0,0,75.0,28.125
PIT,2024,14,1094,4395,4.02,0,0,0,158.85,0,0,0,0,1022,4038,3.95,0,0,0,0,0,0,0,37.5,81.25
ARI,2024,14,993,4530,4.56,0,0,0,174.08,0,0,0,0,1015,4429,4.36,0,0,0,0,0,0,0,79.6875,34.375
BUF,2024,14,1022,4617,4.52,0,0,0,178.85,0,0,0,0,1021,4318,4.23,0,0,0,0,0,0,0,71.875,46.875
TEN,2024,14,1045,3840,3.67,0,0,0,163.38,0,0,0,0,1001,3796,3.79,0,0,0,0,0,0,0,15.625,90.625
CHI,2024,14,1076,3757,3.49,0,0,0,135.92,0,0,0,0,1004,4586,4.57,0,0,0,0,0,0,0,3.125,9.375
CIN,2024,14,1049,4707,4.49,0,0,0,168.54,0,0,0,0,1085,4756,4.38,0,0,0,0,0,0,0,68.75,31.25
NE,2024,14,1046,3786,3.62,0,0,0,137.23,0,0,0,0,1029,4427,4.3,0,0,0,0,0,0,0,12.5,42.1875
IND,2024,14,988,4050,4.1,0,0,0,149.62,0,0,0,0,1102,4934,4.48,0,0,0,0,0,0,0,54.6875,18.75
HOU,2024,14,1098,4358,3.97,0,0,0,183.38,0,0,0,0,1046,4011,3.83,0,0,0,0,0,0,0,31.25,87.5
MIA,2024,14,1054,4317,4.1,0,0,0,162.0,0,0,0,0,1021,4143,4.06,0,0,0,0,0,0,0,54.6875,62.5
JAX,2024,14,948,3871,4.08,0,0,0,122.46,0,0,0,0,1103,5149,4.67,0,0,0,0,0,0,0,48.4375,6.25
NO,2024,14,1048,4442,4.24,0,0,0,190.77,0,0,0,0,1089,4952,4.55,0,0,0,0,0,0,0,62.5,12.5
CAR,2024,14,1013,3812,3.76,0,0,0,152.54,0,0,0,0,1109,5003,4.51,0,0,0,0,0,0,0,20.3125,15.625
NYG,2024,14,1087,3916,3.6,0,0,0,131.23,0,0,0,0,1017,4374,4.3,0,0,0,0,0,0,0,7.8125,42.1875
MIN,2024,14,1022,4568,4.47,0,0,0,164.69,0,0,0,0,1088,4401,4.05,0,0,0,0,0,0,0,65.625,67.1875
LAC,2024,14,992,4028,4.06,0,0,0,180.23,0,0,0,0,1049,4208,4.01,0,0,0,0,0,0,0,42.1875,73.4375
LV,2024,14,1050,3943,3.76,0,0,0,140.23,0,0,0,0,1069,4327,4.05,0,0,0,0,0,0,0,20.3125,67.1875
SEA,2024,14,1075,4477,4.16,0,0,0,165.0,0,0,0,0,1083,4427,4.09,0,0,0,0,0,0,0,59.375,59.375
DEN,2024,14,1042,4162,3.99,0,0,0,158.85,0,0,0,0,1101,4108,3.73,0,0,0,0,0,0,0,34.375,96.875
DAL,2024,14,1111,4196,3.78,0,0,0,173.46,0,0,0,0,1066,4751,4.46,0,0,0,0,0,0,0,25.0,21.875
CLE,2024,14,1134,4079,3.6,0,0,0,130.38,0,0,0,0,1031,4462,4.33,0,0,0,0,0,0,0,7.8125,37.5
TB,2024,14,1056,4932,4.67,0,0,0,198.85,0,0,0,0,1087,4791,4.41,0,0,0,0,0,0,0,87.5,25.0
WAS,2024,14,1070,4915,4.59,0,0,0,185.85,0,0,0,0,1017,4262,4.19,0,0,0,0,0,0,0,84.375,50.0
LAR,2024,14,1091,4429,4.06,0,0,0,149.0,0,0,0,0,1008,4756,4.72,0,0,0,0,0,0,0,42.1875,3.125
DET,2024,14,1045,5133,4.91,0,0,0,195.23,0,0,0,0,1040,4144,3.98,0,0,0,0,0,0,0,93.75,78.125
NYJ,2024,14,1010,3902,3.86,0,0,0,137.15,0,0,0,0,1058,3992,3.77,0,0,0,0,0,0,0,28.125,93.75
SF,2024,14,998,4924,4.93,0,0,0,198.46,0,0,0,0,993,3880,3.91,0,0,0,0,0,0,0,96.875,84.375
