qb_name,team,season,games_played,total_pass_attempts,total_completions,total_pass_yards,total_pass_tds,passing_tds_per_game,red_zone_accuracy_rating,deep_ball_completion_pct,clean_pocket_accuracy,pressured_completion_pct,avg_depth_of_target,first_half_tds,first_half_td_rate,third_down_conversion_pct,fourth_quarter_tds,td_rate_vs_top10_defenses,td_rate_vs_bottom10_defenses
Skylar Thompson,Pittsburgh Steelers,2024,3,33.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.00545455,0,0,0,0,0,0,0
Spencer Rattler,New Orleans Saints,2024,7,228.0,130.0,0,4.0,0.5714285714285714,0.0,0.1875,0.0,0.0054717,0,0,0,0,0,0,0
Stetson Bennett,Los Angeles Rams,2024,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Tanner McKee,Philadelphia Eagles,2024,2,45.0,30.0,0,4.0,2.0,0.0,0.5,0.0,0.006,0,0,0,0,0,0,0
Taylor Heinicke,Los Angeles Chargers,2024,4,5.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Teddy Bridgewater,Tampa Bay Buccaneers,2024,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.075,0.0,0,0,0,0,0,0,0
Tim Boyle,Tennessee Titans,2024,3,50.0,27.0,0,1.0,0.3333333333333333,0.0,0.333333,0.0,0.00272727,0,0,0,0,0,0,0
Tommy DeVito,New England Patriots,2024,3,44.0,31.0,0,0.0,0.0,0.0,0.0,0.0,0.00727273,0,0,0,0,0,0,0
Trevor Lawrence,Jacksonville Jaguars,2024,10,284.0,172.0,0,11.0,1.1,0.0,0.418605,0.0,0.00481481,0,0,0,0,0,0,0
Trey Lance,Los Angeles Chargers,2024,4,41.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0,0,0,0,0,0,0
Tua Tagovailoa,Miami Dolphins,2024,11,399.0,291.0,0,19.0,1.7272727272727273,0.0,0.357143,0.0,0.0071014500000000005,0,0,0,0,0,0,0
Tyler Huntley,Baltimore Ravens,2024,5,133.0,86.0,0,3.0,0.6,0.0,0.08333299999999999,0.0,0.005625,0,0,0,0,0,0,0
Tyrod Taylor,New York Jets,2024,2,22.0,17.0,0,3.0,1.5,0.0,0.0,0.0,0.00625,0,0,0,0,0,0,0
Tyson Bagent,Chicago Bears,2024,4,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Will Levis,Tennessee Titans,2024,12,301.0,190.0,0,13.0,1.0833333333333333,0.0,0.34883699999999995,0.0,0.0055882399999999995,0,0,0,0,0,0,0
