qb_name,team,season,games_played,total_pass_attempts,total_completions,total_pass_yards,total_pass_tds,passing_tds_per_game,red_zone_accuracy_rating,deep_ball_completion_pct,clean_pocket_accuracy,pressured_completion_pct,avg_depth_of_target,first_half_tds,first_half_td_rate,third_down_conversion_pct,fourth_quarter_tds,td_rate_vs_top10_defenses,td_rate_vs_bottom10_defenses
Aaron Rodgers,Pittsburgh Steelers,2024,17,584.0,368.0,0,28.0,1.6470588235294117,0.0,0.392857,0.0,0.00568807,0,0,0,0,0,0,0
Aidan O'Connell,Las Vegas Raiders,2024,9,243.0,154.0,0,8.0,0.8888888888888888,0.0,0.375,0.0,0.005,0,0,0,0,0,0,0
Andy Dalton,Carolina Panthers,2024,6,160.0,106.0,0,7.0,1.1666666666666667,0.0,0.46153799999999995,0.0,0.005,0,0,0,0,0,0,0
Anthony Richardson,Indianapolis Colts,2024,11,264.0,126.0,0,8.0,0.7272727272727273,0.0,0.216667,0.0,0.00382353,0,0,0,0,0,0,0
Austin Reed,Chicago Bears,2024,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Bailey Zappe,Cleveland Browns,2024,1,31.0,16.0,0,1.0,1.0,0.0,0.0,0.0,0.00833333,0,0,0,0,0,0,0
Baker Mayfield,Tampa Bay Buccaneers,2024,17,570.0,407.0,0,41.0,2.411764705882353,0.0,0.392857,0.0,0.0068518500000000005,0,0,0,0,0,0,0
Bo Nix,Denver Broncos,2024,17,567.0,376.0,0,29.0,1.7058823529411764,0.0,0.356164,0.0,0.00564103,0,0,0,0,0,0,0
Brandon Allen,Tennessee Titans,2024,3,30.0,17.0,0,1.0,0.3333333333333333,0.0,0.0,0.0,0.00333333,0,0,0,0,0,0,0
Brock Purdy,San Francisco 49ers,2024,15,455.0,300.0,0,20.0,1.3333333333333333,0.0,0.408163,0.0,0.00669725,0,0,0,0,0,0,0
Bryce Young,Carolina Panthers,2024,14,384.0,234.0,0,15.0,1.0714285714285714,0.0,0.367347,0.0,0.005,0,0,0,0,0,0,0
C.J. Stroud,Houston Texans,2024,17,532.0,336.0,0,20.0,1.1764705882352942,0.0,0.292308,0.0,0.005379310000000001,0,0,0,0,0,0,0
Caleb Williams,Chicago Bears,2024,17,562.0,351.0,0,20.0,1.1764705882352942,0.0,0.271605,0.0,0.00490196,0,0,0,0,0,0,0
Carson Wentz,Minnesota Vikings,2024,3,19.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.00714286,0,0,0,0,0,0,0
Chris Oladokun,Kansas City Chiefs,2024,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Clayton Tune,Green Bay Packers,2024,6,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Cooper Rush,Baltimore Ravens,2024,12,308.0,187.0,0,12.0,1.0,0.0,0.25,0.0,0.005303029999999999,0,0,0,0,0,0,0
Dak Prescott,Dallas Cowboys,2024,8,286.0,185.0,0,11.0,1.375,0.0,0.38709699999999997,0.0,0.00605263,0,0,0,0,0,0,0
Daniel Jones,Indianapolis Colts,2024,10,341.0,216.0,0,8.0,0.8,0.0,0.272727,0.0,0.00552632,0,0,0,0,0,0,0
Davis Mills,Houston Texans,2024,4,36.0,20.0,0,0.0,0.0,0.0,0.5,0.0,0.00444444,0,0,0,0,0,0,0
Derek Carr,New Orleans Saints,2024,10,279.0,189.0,0,15.0,1.5,0.0,0.3,0.0,0.00597015,0,0,0,0,0,0,0
Deshaun Watson,Cleveland Browns,2024,7,216.0,137.0,0,5.0,0.7142857142857143,0.0,0.222222,0.0,0.005,0,0,0,0,0,0,0
Desmond Ridder,Minnesota Vikings,2024,5,85.0,52.0,0,2.0,0.4,0.0,0.18181799999999998,0.0,0.00631579,0,0,0,0,0,0,0
Dorian Thompson-Robinson,Philadelphia Eagles,2024,7,118.0,61.0,0,0.0,0.0,0.0,0.0,0.0,0.00478261,0,0,0,0,0,0,0
Drake Maye,New England Patriots,2024,13,339.0,226.0,0,15.0,1.1538461538461537,0.0,0.30303,0.0,0.00641026,0,0,0,0,0,0,0
Drew Lock,Seattle Seahawks,2024,8,181.0,107.0,0,6.0,0.75,0.0,0.21052600000000002,0.0,0.00545455,0,0,0,0,0,0,0
Gardner Minshew,Kansas City Chiefs,2024,10,306.0,203.0,0,9.0,0.9,0.0,0.375,0.0,0.00566667,0,0,0,0,0,0,0
Geno Smith,Las Vegas Raiders,2024,17,578.0,407.0,0,21.0,1.2352941176470589,0.0,0.441176,0.0,0.005950410000000001,0,0,0,0,0,0,0
Hendon Hooker,Carolina Panthers,2024,3,9.0,6.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
Jacoby Brissett,Arizona Cardinals,2024,8,161.0,95.0,0,2.0,0.25,0.0,0.23076899999999997,0.0,0.005,0,0,0,0,0,0,0
Jake Browning,Cincinnati Bengals,2024,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Jake Haener,New Orleans Saints,2024,8,39.0,18.0,0,1.0,0.125,0.0,0.2,0.0,0.00363636,0,0,0,0,0,0,0
Jalen Hurts,Philadelphia Eagles,2024,15,361.0,248.0,0,18.0,1.2,0.0,0.378378,0.0,0.00568966,0,0,0,0,0,0,0
Jameis Winston,New York Giants,2024,12,296.0,181.0,0,13.0,1.0833333333333333,0.0,0.352941,0.0,0.00508475,0,0,0,0,0,0,0
Jared Goff,Detroit Lions,2024,17,539.0,390.0,0,37.0,2.176470588235294,0.0,0.418605,0.0,0.00592233,0,0,0,0,0,0,0
Jarrett Stidham,Denver Broncos,2024,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Jayden Daniels,Washington Commanders,2024,17,480.0,331.0,0,25.0,1.4705882352941178,0.0,0.3,0.0,0.00541176,0,0,0,0,0,0,0
Jeff Driskel,Washington Commanders,2024,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Jimmy Garoppolo,Los Angeles Rams,2024,1,41.0,27.0,0,2.0,2.0,0.0,0.75,0.0,0.00636364,0,0,0,0,0,0,0
Joe Burrow,Cincinnati Bengals,2024,17,652.0,460.0,0,43.0,2.5294117647058822,0.0,0.384615,0.0,0.00644737,0,0,0,0,0,0,0
Joe Flacco,Cleveland Browns,2024,8,248.0,162.0,0,12.0,1.5,0.0,0.35483899999999996,0.0,0.00470588,0,0,0,0,0,0,0
Joe Milton III,Dallas Cowboys,2024,1,29.0,22.0,0,1.0,1.0,0.0,0.16666699999999998,0.0,0.00625,0,0,0,0,0,0,0
Jordan Love,Green Bay Packers,2024,15,425.0,268.0,0,25.0,1.6666666666666667,0.0,0.367647,0.0,0.0047916700000000005,0,0,0,0,0,0,0
Josh Allen,Buffalo Bills,2024,17,483.0,307.0,0,28.0,1.6470588235294117,0.0,0.346667,0.0,0.004699999999999999,0,0,0,0,0,0,0
Josh Johnson,Washington Commanders,2024,6,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.009999999899999999,0,0,0,0,0,0,0
Joshua Dobbs,New England Patriots,2024,2,47.0,32.0,0,2.0,1.0,0.0,0.666667,0.0,0.006,0,0,0,0,0,0,0
Justin Fields,New York Jets,2024,10,161.0,106.0,0,5.0,0.5,0.0,0.272727,0.0,0.00564103,0,0,0,0,0,0,0
Justin Herbert,Los Angeles Chargers,2024,17,504.0,332.0,0,23.0,1.3529411764705883,0.0,0.424242,0.0,0.00583333,0,0,0,0,0,0,0
Kenny Pickett,Las Vegas Raiders,2024,5,42.0,25.0,0,2.0,0.4,0.0,0.8,0.0,0.00583333,0,0,0,0,0,0,0
Kirk Cousins,Atlanta Falcons,2024,14,453.0,303.0,0,18.0,1.2857142857142858,0.0,0.43181800000000004,0.0,0.0056962,0,0,0,0,0,0,0
Kyle Allen,Detroit Lions,2024,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Kyle Trask,Tampa Bay Buccaneers,2024,4,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Kyler Murray,Arizona Cardinals,2024,17,541.0,372.0,0,21.0,1.2352941176470589,0.0,0.357143,0.0,0.0057471300000000005,0,0,0,0,0,0,0
Lamar Jackson,Baltimore Ravens,2024,17,474.0,316.0,0,41.0,2.411764705882353,0.0,0.338028,0.0,0.00564103,0,0,0,0,0,0,0
Mac Jones,San Francisco 49ers,2024,10,262.0,171.0,0,8.0,0.8,0.0,0.214286,0.0,0.005428570000000001,0,0,0,0,0,0,0
Malik Willis,Green Bay Packers,2024,7,54.0,40.0,0,3.0,0.42857142857142855,0.0,0.75,0.0,0.00833333,0,0,0,0,0,0,0
Marcus Mariota,Washington Commanders,2024,3,44.0,34.0,0,4.0,1.3333333333333333,0.0,0.4,0.0,0.004,0,0,0,0,0,0,0
Mason Rudolph,Pittsburgh Steelers,2024,8,228.0,146.0,0,9.0,1.125,0.0,0.35,0.0,0.00490196,0,0,0,0,0,0,0
Matthew Stafford,Los Angeles Rams,2024,16,517.0,340.0,0,20.0,1.25,0.0,0.4,0.0,0.00484848,0,0,0,0,0,0,0
Michael Penix Jr.,Atlanta Falcons,2024,5,105.0,61.0,0,3.0,0.6,0.0,0.368421,0.0,0.0042105300000000005,0,0,0,0,0,0,0
Mike White,Cincinnati Bengals,2024,1,11.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Mitchell Trubisky,Buffalo Bills,2024,9,26.0,19.0,0,2.0,0.2222222222222222,0.0,0.0,0.0,0.009999999899999999,0,0,0,0,0,0,0
Nick Mullens,Jacksonville Jaguars,2024,4,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Patrick Mahomes,Kansas City Chiefs,2024,16,581.0,392.0,0,26.0,1.625,0.0,0.265306,0.0,0.00606667,0,0,0,0,0,0,0
Russell Wilson,New York Giants,2024,11,336.0,214.0,0,16.0,1.4545454545454546,0.0,0.466667,0.0,0.005512820000000001,0,0,0,0,0,0,0
Sam Darnold,Seattle Seahawks,2024,17,545.0,361.0,0,35.0,2.0588235294117645,0.0,0.508197,0.0,0.006,0,0,0,0,0,0,0
Sam Hartman,Washington Commanders,2024,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Sam Howell,Philadelphia Eagles,2024,3,14.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.002,0,0,0,0,0,0,0
