game,home_team,away_team,team,spread,odds,sportsbook,game_time
Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,Tennessee Titans,Indianapolis Colts,-14.5,-104,FanDuel,2025-10-26T20:25:00Z
Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,Tennessee Titans,Tennessee Titans,14.5,-118,FanDuel,2025-10-26T20:25:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Green Bay Packers,-3.0,-112,DraftKings,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Pittsburgh Steelers,3.0,-108,DraftKings,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Green Bay Packers,-3.0,-118,FanDuel,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Pittsburgh Steelers,3.0,-104,FanDuel,2025-10-27T00:20:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,Kansas City Chiefs,-12.5,-108,DraftKings,2025-10-28T00:15:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,Washington Commanders,12.5,-112,DraftKings,2025-10-28T00:15:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,Kansas City Chiefs,-11.5,-120,FanDuel,2025-10-28T00:15:00Z
Washington Commanders @ Kansas City Chiefs,Kansas City Chiefs,Washington Commanders,Washington Commanders,11.5,-102,FanDuel,2025-10-28T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,Baltimore Ravens,-7.5,-110,DraftKings,2025-10-31T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,Miami Dolphins,7.5,-110,DraftKings,2025-10-31T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,Baltimore Ravens,-8.5,-105,FanDuel,2025-10-31T00:15:00Z
Baltimore Ravens @ Miami Dolphins,Miami Dolphins,Baltimore Ravens,Miami Dolphins,8.5,-115,FanDuel,2025-10-31T00:15:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,Atlanta Falcons,2.5,-102,DraftKings,2025-11-02T18:00:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,New England Patriots,-2.5,-118,DraftKings,2025-11-02T18:00:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,Atlanta Falcons,2.5,100,FanDuel,2025-11-02T18:00:00Z
Atlanta Falcons @ New England Patriots,New England Patriots,Atlanta Falcons,New England Patriots,-2.5,-122,FanDuel,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,Carolina Panthers,10.5,-110,DraftKings,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,Green Bay Packers,-10.5,-110,DraftKings,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,Carolina Panthers,10.5,-108,FanDuel,2025-11-02T18:00:00Z
Carolina Panthers @ Green Bay Packers,Green Bay Packers,Carolina Panthers,Green Bay Packers,-10.5,-112,FanDuel,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,Chicago Bears,-1.5,-105,DraftKings,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,Cincinnati Bengals,1.5,-115,DraftKings,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,Chicago Bears,-1.5,-110,FanDuel,2025-11-02T18:00:00Z
Chicago Bears @ Cincinnati Bengals,Cincinnati Bengals,Chicago Bears,Cincinnati Bengals,1.5,-110,FanDuel,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,Denver Broncos,-1.5,-102,DraftKings,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,Houston Texans,1.5,-118,DraftKings,2025-11-02T18:00:00Z
